State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Prayagraj RTO - UP70,ICE,BAJAJ AUTO LTD,478,600,614,967,"1,238",657,35,"4,589",0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,ICE,BMW INDIA PVT LTD,2,0,3,2,1,0,0,8,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,ICE,CLASSIC LEGENDS PVT LTD,2,0,3,8,5,2,0,20,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,ICE,HERO MOTOCORP LTD,"2,429","3,163","4,240","5,603","6,885","3,390",31,"25,741",0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,861,990,"1,256","1,306","1,275","1,007",49,"6,744",0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,ICE,INDIA YAMAHA MOTOR PVT LTD,55,82,103,124,119,64,7,554,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,ICE,PIAGGIO VEHICLES PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),321,377,462,626,487,331,8,"2,612",0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,80,90,115,114,109,79,4,591,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,ICE,TVS MOTOR COMPANY LTD,982,"1,283","1,550","2,300","2,210","1,357",72,"9,754",0,0,0
