State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Prayagraj RTO - UP70,L3P,3S INDUSTRIES PRIVATE LIMITED,1,2,4,6,4,3,0,20,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,ACCRETION POWER AUTOS,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,ADIDEV TECHNOA PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,ADM TECHNOLOGIES PVT. LTD.,2,3,2,0,0,0,0,7,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,AFKON AUTOMOTIVES PVT LTD,9,8,14,30,26,23,0,110,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,AJAY MOTORS PRIVATE LIMITED,4,1,3,3,3,3,0,17,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,AKG INTERNATIONAL,0,0,0,0,4,1,0,5,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,ALLFINE INDUSTRIES PVT LTD,2,2,1,0,4,0,0,9,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,1,1,1,0,0,3,0,6,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,AMAN ELECTRIC VEHICLES,5,0,0,6,4,1,0,16,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,AMBIKA ENTERPRISES,0,0,0,0,3,0,0,3,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,AMBIKA INDUSTRIES,0,0,0,2,2,2,0,6,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,A P I MOTORS PVT LTD,0,2,1,5,1,0,0,9,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,ARCHIT ENTERPRISES,0,0,0,4,0,0,0,4,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,ASHMA-MOTORS PVT LTD,0,0,1,4,2,2,0,9,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,ATTOLENT AUTO GROUP PVT LTD,7,1,1,4,1,0,0,14,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,ATUL AUTO LTD,1,0,4,2,0,2,0,9,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,ATUT SANGAM,5,2,5,1,3,2,1,19,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,A.V.AUTOMOTIVES PVT LTD,1,1,3,3,4,1,0,13,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,AVL ELECTRIC VEHICLES PVT LTD,9,9,3,1,0,0,0,22,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,AVON CYCLES LTD,1,0,0,1,0,0,0,2,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,B24 ROKET EV,13,2,2,9,7,4,0,37,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,BABA E-VEHICLES,0,0,2,0,3,2,0,7,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,BAXY LTD,5,4,5,8,5,5,0,32,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,BEST WAY AGENCIES PVT LTD,6,8,2,10,14,7,0,47,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,BHM INDUSTRIES,8,7,16,15,24,9,1,80,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,L3P,BIG BULL TRADER PVT LTD,6,3,0,1,2,3,0,15,0,0,0
