State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Raibareilly - UP33,L3G,ACCRETION POWER AUTOS,0,0,1,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Raibareilly - UP33,L3G,ARCHIT ENTERPRISES,1,6,6,20,5,6,8,6,1,3,2,4
Uttar Pradesh,Raibareilly - UP33,L3G,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,1,0,0,0,5,1
Uttar Pradesh,Raibareilly - UP33,L3G,AVON CYCLES LTD,0,0,0,0,0,1,0,0,2,0,3,0
Uttar Pradesh,Raibareilly - UP33,L3G,BABA E-VEHICLES,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Raibareilly - UP33,L3G,BHM INDUSTRIES,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Raibareilly - UP33,L3G,BRIGHT AUTOZONE PVT LTD,3,2,1,0,4,2,2,3,3,3,7,2
Uttar Pradesh,Raibareilly - UP33,L3G,CHAMPION POLY PLAST,0,0,0,0,1,0,0,1,0,0,0,0
Uttar Pradesh,Raibareilly - UP33,L3G,DAKSH INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,3
Uttar Pradesh,Raibareilly - UP33,L3G,DILLI ELECTRIC AUTO PVT LTD,17,29,20,44,30,17,32,20,24,19,27,21
Uttar Pradesh,Raibareilly - UP33,L3G,ELITE AUTO ENGINEERS PVT LTD,0,0,0,1,0,0,1,1,0,0,0,0
Uttar Pradesh,Raibareilly - UP33,L3G,ENERGY ELECTRIC VEHICLES,7,7,11,6,8,11,8,3,6,14,20,18
Uttar Pradesh,Raibareilly - UP33,L3G,GREENWHEELS AUTOMOBILE PVT LTD,0,1,1,1,2,0,0,0,0,0,2,0
Uttar Pradesh,Raibareilly - UP33,L3G,HOP MOTORS PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Raibareilly - UP33,L3G,HOTAGE INDIA,1,0,1,0,1,0,0,0,0,0,1,0
Uttar Pradesh,Raibareilly - UP33,L3G,JITENDRA TEMPO PARTS,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Raibareilly - UP33,L3G,J. S. AUTO (P) LTD,0,6,0,4,2,1,2,3,2,1,1,5
Uttar Pradesh,Raibareilly - UP33,L3G,KHALSAE-VEHICLES PVT LTD,0,0,0,0,0,0,0,0,2,5,0,0
Uttar Pradesh,Raibareilly - UP33,L3G,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Raibareilly - UP33,L3G,K T ENTERPRISES,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Raibareilly - UP33,L3G,M/S SHRIRAM AUTO TECH PVT LTD,0,0,0,0,7,0,0,0,5,5,1,0
Uttar Pradesh,Raibareilly - UP33,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1,0,2,0
Uttar Pradesh,Raibareilly - UP33,L3G,SAERA ELECTRIC AUTO PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Raibareilly - UP33,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,1,0,0,5,0,2,0,1,1,0,0
Uttar Pradesh,Raibareilly - UP33,L3G,SKS TRADE INDIA PVT LTD,1,0,2,1,3,2,2,3,3,3,6,1
Uttar Pradesh,Raibareilly - UP33,L3G,THUKRAL ELECTRIC BIKES PVT LTD,7,6,5,8,18,10,12,11,4,3,14,25
Uttar Pradesh,Raibareilly - UP33,L3G,TWO FRIENDS AUTO ELECTRIC PVT LTD,1,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Raibareilly - UP33,L3G,UNIQUE INTERNATIONAL,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Raibareilly - UP33,L3G,U.P. TELELINKS LIMITED,0,0,0,0,0,0,0,0,0,0,3,2
Uttar Pradesh,Raibareilly - UP33,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,3,12,14,8,12,20,11,12,10,8,17,24
Uttar Pradesh,Raibareilly - UP33,L3G,YC ELECTRIC VEHICLE,5,1,7,6,8,11,5,5,5,5,9,10
Uttar Pradesh,Raibareilly - UP33,L3G,ZENIAK INNOVATION INDIA LTD,0,0,0,0,0,2,0,0,0,2,3,3
