State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Raibareilly - UP33,L3P,ACCRETION POWER AUTOS,0,0,0,0,1,0,1,0,0,0,0,0
Uttar Pradesh,Raibareilly - UP33,L3P,AFKON AUTOMOTIVES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Raibareilly - UP33,L3P,AKG INTERNATIONAL,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Raibareilly - UP33,L3P,ALLENTTI MOTORS PVT LTD,0,4,0,0,1,4,0,0,0,0,0,0
Uttar Pradesh,Raibareilly - UP33,L3P,ALLFINE INDUSTRIES PVT LTD,0,0,2,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Raibareilly - UP33,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,1,1,0,0,1,3
Uttar Pradesh,Raibareilly - UP33,L3P,APM AUTO SALES,0,0,1,0,0,0,0,0,1,1,0,0
Uttar Pradesh,Raibareilly - UP33,L3P,ARCHIT ENTERPRISES,3,6,1,5,7,7,8,0,4,6,3,5
Uttar Pradesh,Raibareilly - UP33,L3P,AVL ELECTRIC VEHICLES PVT LTD,5,4,3,1,7,5,4,4,2,5,7,8
Uttar Pradesh,Raibareilly - UP33,L3P,AVON CYCLES LTD,0,0,0,0,0,8,5,8,4,0,1,0
Uttar Pradesh,Raibareilly - UP33,L3P,BAJAJ IMPLEMENTS PVT. LTD,0,0,0,0,0,0,0,0,5,0,0,0
Uttar Pradesh,Raibareilly - UP33,L3P,BALI AUTO INDUSTRIES,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Raibareilly - UP33,L3P,BEST WAY AGENCIES PVT LTD,0,0,0,0,0,0,1,1,0,0,0,2
Uttar Pradesh,Raibareilly - UP33,L3P,BHADAURIA ENTERPRISES,0,1,0,0,3,0,2,0,1,0,0,1
Uttar Pradesh,Raibareilly - UP33,L3P,BHM INDUSTRIES,0,0,0,1,0,0,0,0,0,0,0,3
Uttar Pradesh,Raibareilly - UP33,L3P,BRIGHT AUTOZONE PVT LTD,21,9,9,5,5,9,10,13,13,10,16,5
Uttar Pradesh,Raibareilly - UP33,L3P,BSERAIL ENGINEERING PVT LTD,0,1,6,0,0,7,6,6,0,3,0,2
Uttar Pradesh,Raibareilly - UP33,L3P,CEEON INDIA,0,0,3,1,0,0,0,1,0,0,0,0
Uttar Pradesh,Raibareilly - UP33,L3P,CHAMPION POLY PLAST,1,0,1,0,1,4,0,3,4,1,3,2
Uttar Pradesh,Raibareilly - UP33,L3P,DAKSH INDUSTRIES,5,5,4,5,4,8,9,2,5,0,4,1
Uttar Pradesh,Raibareilly - UP33,L3P,DIAMOND E VEHICLES,0,1,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Raibareilly - UP33,L3P,DILLI ELECTRIC AUTO PVT LTD,39,57,37,28,46,50,62,47,46,59,56,30
Uttar Pradesh,Raibareilly - UP33,L3P,DUKE AUTO INDIA,0,1,0,5,4,0,1,0,6,2,4,0
Uttar Pradesh,Raibareilly - UP33,L3P,E-ASHWA AUTOMOTIVE PVT LTD,0,0,0,0,0,0,2,0,0,0,0,1
Uttar Pradesh,Raibareilly - UP33,L3P,ELITE AUTO ENGINEERS PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Raibareilly - UP33,L3P,ENERGY ELECTRIC VEHICLES,37,32,39,37,29,47,50,61,53,58,58,55
Uttar Pradesh,Raibareilly - UP33,L3P,GREENFIT INDUSTRIES LLP,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Raibareilly - UP33,L3P,GREENWHEELS AUTOMOBILE PVT LTD,4,0,4,3,5,0,3,2,2,0,1,0
Uttar Pradesh,Raibareilly - UP33,L3P,HARSH TRADING CO,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Raibareilly - UP33,L3P,HI-TECH INDUSTRIES,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Raibareilly - UP33,L3P,HOOGHLY MOTORS PVT LTD,36,7,16,13,18,26,24,23,18,29,29,28
Uttar Pradesh,Raibareilly - UP33,L3P,HOTAGE INDIA,8,5,3,2,4,4,8,12,12,11,9,7
Uttar Pradesh,Raibareilly - UP33,L3P,ISUKII GREENS PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Raibareilly - UP33,L3P,JMT VEHICLES PVT LTD,0,0,0,0,1,1,0,0,0,4,0,0
Uttar Pradesh,Raibareilly - UP33,L3P,J. S. AUTO (P) LTD,0,2,7,5,0,2,5,2,5,3,1,7
Uttar Pradesh,Raibareilly - UP33,L3P,KHALSAE-VEHICLES PVT LTD,0,0,0,4,5,0,1,0,7,6,6,0
Uttar Pradesh,Raibareilly - UP33,L3P,KRISHNA ENGINEERING WORKS,1,1,1,0,0,0,0,0,3,0,0,0
