State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Raibareilly - UP33,ICE,BAJAJ AUTO LTD,455,635,638,938,906,540,24,"4,136",0,0,0
Uttar Pradesh,Raibareilly - UP33,ICE,BMW INDIA PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Raibareilly - UP33,ICE,CLASSIC LEGENDS PVT LTD,1,1,1,0,0,1,0,4,0,0,0
Uttar Pradesh,Raibareilly - UP33,ICE,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Raibareilly - UP33,ICE,HERO MOTOCORP LTD,"1,328","1,604","1,705","2,565","2,735","1,490",54,"11,481",0,0,0
Uttar Pradesh,Raibareilly - UP33,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,209,194,283,260,323,199,20,"1,488",0,0,0
Uttar Pradesh,Raibareilly - UP33,ICE,INDIA YAMAHA MOTOR PVT LTD,45,17,27,18,22,12,0,141,0,0,0
Uttar Pradesh,Raibareilly - UP33,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),104,151,101,157,115,69,2,699,0,0,0
Uttar Pradesh,Raibareilly - UP33,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,6,9,7,14,17,15,0,68,0,0,0
Uttar Pradesh,Raibareilly - UP33,ICE,TVS MOTOR COMPANY LTD,413,498,459,773,813,483,26,"3,465",0,0,0
