State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,SAHARANPUR RTO - UP11,ICE,BAJAJ AUTO LTD,193,212,223,250,289,221,203,173,159,322,457,139
Uttar Pradesh,SAHARANPUR RTO - UP11,ICE,BMW INDIA PVT LTD,0,0,0,2,0,0,0,0,0,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,ICE,CLASSIC LEGENDS PVT LTD,2,5,15,7,7,3,6,7,2,19,12,4
Uttar Pradesh,SAHARANPUR RTO - UP11,ICE,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,ICE,HERO MOTOCORP LTD,"1,791","2,109","2,400","2,771","2,470","2,022","2,128","1,830","1,074","2,725","6,645","1,513"
Uttar Pradesh,SAHARANPUR RTO - UP11,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,448,456,435,607,593,472,492,512,374,571,"1,166",321
Uttar Pradesh,SAHARANPUR RTO - UP11,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,ICE,INDIA YAMAHA MOTOR PVT LTD,49,44,34,65,45,33,33,34,29,46,68,29
Uttar Pradesh,SAHARANPUR RTO - UP11,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),198,261,208,313,258,184,148,148,134,334,463,162
Uttar Pradesh,SAHARANPUR RTO - UP11,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,117,123,126,227,168,132,149,135,140,190,267,62
Uttar Pradesh,SAHARANPUR RTO - UP11,ICE,TVS MOTOR COMPANY LTD,310,347,346,406,355,289,302,285,248,512,663,211
