State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,SAHARANPUR RTO - UP11,E2W,ATHER ENERGY LTD,17,20,47,29,47,19,0,179,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,E2W,BAJAJ AUTO LTD,33,22,53,26,19,21,0,174,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,4,5,4,0,3,5,0,21,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,E2W,BGAUSS AUTO PRIVATE LIMITED,6,8,11,5,6,12,1,49,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,7,0,15,1,11,10,0,44,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,E2W,HERO MOTOCORP LTD,3,13,24,24,27,37,0,128,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,E2W,KLB KOMAKI PVT LTD,7,3,1,0,7,0,0,18,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,E2W,LECTRIX E VEHICLES PVT LTD,3,1,2,1,0,0,0,7,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,E2W,OBEN ELECTRIC VEHICLES PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,E2W,OKAYA EV PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,84,22,108,78,87,96,1,476,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,E2W,PUR ENERGY PVT LTD,0,10,10,40,45,15,0,120,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,E2W,REVOLT INTELLICORP PVT LTD,4,3,2,2,2,0,0,13,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,E2W,TVS MOTOR COMPANY LTD,146,111,219,129,182,207,1,995,0,0,0
