State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,SAHARANPUR RTO - UP11,ICE,BAJAJ AUTO LTD,168,151,191,179,145,132,0,966,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,ICE,BMW INDIA PVT LTD,0,0,1,1,0,0,0,2,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,ICE,CLASSIC LEGENDS PVT LTD,4,6,4,7,7,3,1,32,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,ICE,HERO MOTOCORP LTD,"1,725","1,902","2,187","2,774","2,143","1,867",88,"12,686",0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,386,349,424,432,465,359,11,"2,426",0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,ICE,INDIA YAMAHA MOTOR PVT LTD,31,26,22,45,30,34,0,188,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,ICE,PIAGGIO VEHICLES PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),220,323,281,354,260,169,17,"1,624",0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,121,149,146,249,114,118,2,899,0,0,0
Uttar Pradesh,SAHARANPUR RTO - UP11,ICE,TVS MOTOR COMPANY LTD,335,283,267,421,318,314,25,"1,963",0,0,0
