State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,SAHJAHANPUR - UP27,E2W,ATHER ENERGY LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,E2W,BAJAJ AUTO LTD,0,0,0,0,0,9,3,13,11,19,41,12
Uttar Pradesh,SAHJAHANPUR - UP27,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,4,0,0,0,0,0,2,0,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,E2W,HERO MOTOCORP LTD,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,1,4,2,0,0,4,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,17,11,24,19,15,30,17,24,8,45,20,10
Uttar Pradesh,SAHJAHANPUR - UP27,E2W,PUR ENERGY PVT LTD,0,0,0,0,0,1,0,0,0,0,1,0
Uttar Pradesh,SAHJAHANPUR - UP27,E2W,REVOLT INTELLICORP PVT LTD,0,3,0,3,0,0,5,2,6,0,9,1
Uttar Pradesh,SAHJAHANPUR - UP27,E2W,TVS MOTOR COMPANY LTD,0,0,0,0,0,0,0,0,0,0,2,0
Uttar Pradesh,SAHJAHANPUR - UP27,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,4,2,5,5,3,5,3,1,0,1,1,1
Uttar Pradesh,SAHJAHANPUR - UP27,E2W,WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),1,0,0,0,0,0,0,0,0,0,0,0
