State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,3S INDUSTRIES PRIVATE LIMITED,1,0,2,0,1,0,1,0,0,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,AMAN AUTOMOBILES,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,AMBIKA INDUSTRIES,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,ATTOLENT AUTO GROUP PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,BALI AUTO INDUSTRIES,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,BEST WAY AGENCIES PVT LTD,0,0,0,0,0,0,0,2,0,1,1,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,3,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,DAKSH INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,2
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,DILLI ELECTRIC AUTO PVT LTD,2,6,4,4,6,2,2,2,2,4,9,4
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,ELITE AUTO ENGINEERS PVT LTD,1,0,2,0,0,0,0,0,1,0,0,1
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,ENERGY ELECTRIC VEHICLES,0,0,0,0,2,0,0,0,1,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,GAYATRI ELECTRIC VEHICLES PVT LTD,0,0,0,2,1,0,0,0,0,1,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,GREENFIT INDUSTRIES LLP,0,0,0,0,0,0,0,1,1,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,GREEN STAR MOTORS,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,HOTAGE INDIA,0,0,0,0,0,0,1,0,0,1,1,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,JITENDRA TEMPO PARTS,0,0,0,0,0,0,0,0,0,2,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,J. S. AUTO (P) LTD,0,0,2,2,0,1,0,2,0,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,KAPTECH INDIA PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,KHALSAE-VEHICLES PVT LTD,2,0,0,0,0,1,1,0,3,1,0,1
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,1,0,0,0,0,0,0,0
