State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,SAHJAHANPUR - UP27,L3P,3S INDUSTRIES PRIVATE LIMITED,4,13,4,0,0,5,10,0,3,6,4,5
Uttar Pradesh,SAHJAHANPUR - UP27,L3P,ALLFINE INDUSTRIES PVT LTD,0,3,1,0,0,1,0,2,1,0,0,3
Uttar Pradesh,SAHJAHANPUR - UP27,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3P,AMAN ELECTRIC VEHICLES,0,1,0,0,2,0,0,0,1,1,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3P,ANJALI AUTO COMPONENTS,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3P,APARNA INDUSTRIES,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3P,A.R. MOTOR,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3P,AVL ELECTRIC VEHICLES PVT LTD,3,0,1,0,1,4,8,2,6,5,3,4
Uttar Pradesh,SAHJAHANPUR - UP27,L3P,B24 ROKET EV,0,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3P,BAJAJ IMPLEMENTS PVT. LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3P,BALI AUTO INDUSTRIES,4,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3P,BEST WAY AGENCIES PVT LTD,3,2,2,0,2,1,2,7,8,13,7,17
Uttar Pradesh,SAHJAHANPUR - UP27,L3P,BHM INDUSTRIES,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3P,BRIGHT AUTOZONE PVT LTD,0,0,2,0,0,0,0,1,0,1,0,1
Uttar Pradesh,SAHJAHANPUR - UP27,L3P,CARREE YUNUS VEHICLE PVT LTD,0,0,0,0,0,0,2,4,3,7,0,0
