State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,SAHJAHANPUR - UP27,ICE,BAJAJ AUTO LTD,437,334,330,522,550,256,0,"2,429",0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,ICE,BMW INDIA PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,ICE,CLASSIC LEGENDS PVT LTD,0,1,1,2,1,1,0,6,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,ICE,HERO MOTOCORP LTD,"1,553","1,461","1,637","3,077","2,520","1,230",137,"11,615",0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,262,180,240,279,266,184,18,"1,429",0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,1,0,0,0,1,0,2,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,ICE,INDIA YAMAHA MOTOR PVT LTD,7,8,9,6,7,12,0,49,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),91,66,127,183,120,95,8,690,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,0,0,0,0,2,2,0,4,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,ICE,TVS MOTOR COMPANY LTD,488,438,468,756,755,459,38,"3,402",0,0,0
