State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,AMBIKA INDUSTRIES,0,0,3,1,2,2,0,8,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,BEST WAY AGENCIES PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,CEEON INDIA,0,0,0,1,1,0,0,2,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,DAKSH INDUSTRIES,2,0,0,0,0,0,0,2,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,DILLI ELECTRIC AUTO PVT LTD,1,2,3,4,7,4,0,21,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,DIVYA ENTERPRISES,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,DUKE AUTO INDIA,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,ELITE AUTO ENGINEERS PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,ENERGY ELECTRIC VEHICLES,0,1,1,0,0,0,1,3,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,GREENFIT INDUSTRIES LLP,0,0,0,3,0,0,0,3,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,HOTAGE INDIA,0,0,1,1,1,1,0,4,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,JITENDRA TEMPO PARTS,2,1,3,1,3,2,0,12,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,J. S. AUTO (P) LTD,1,2,5,9,3,4,0,24,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,KHALSAE-VEHICLES PVT LTD,0,0,1,0,1,0,0,2,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,MINI METRO EV L.L.P,0,0,0,2,1,2,0,5,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,M/S SHRIRAM AUTO TECH PVT LTD,0,1,0,2,2,1,0,6,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,NEW ARCANA INDIA,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,NEW CHAWLA INDUSTRIES,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,PARI E-VEHICLES,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,SAERA ELECTRIC AUTO PVT LTD,6,4,4,7,11,7,1,40,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,SAHNIANAND E VEHICLES PVT LTD,3,2,2,4,1,0,0,12,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,SAMRAT ELECTRIC VEHICLE,0,0,3,0,0,2,0,5,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,1,1,2,1,2,2,0,9,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,SKS TRADE INDIA PVT LTD,0,4,1,1,0,1,0,7,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,SPEEGO VEHICLES CO PVT LTD,0,0,0,1,0,1,0,2,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,T U K INDUSTRIES,2,1,3,7,12,4,1,30,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,TWO FRIENDS AUTO ELECTRIC PVT LTD,3,1,1,3,3,2,0,13,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,UNIQUE ENTERPRISES,0,0,0,0,2,3,0,5,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,U.P. TELELINKS LIMITED,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,YC ELECTRIC VEHICLE,1,0,1,2,4,1,0,9,0,0,0
Uttar Pradesh,SAHJAHANPUR - UP27,L3G,ZENIAK INNOVATION INDIA LTD,1,0,0,1,1,0,0,3,0,0,0
