State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,SHAMLI ARTO - UP19,E2W,ATHER ENERGY LTD,3,1,3,0,1,0,0,8,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,E2W,BAJAJ AUTO LTD,16,9,17,14,15,7,1,79,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,2,1,3,0,0,2,0,8,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,E2W,HERO MOTOCORP LTD,0,1,5,5,8,7,0,26,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,E2W,KLB KOMAKI PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,E2W,OKAYA EV PVT LTD,1,0,0,0,0,1,0,2,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,33,7,20,12,15,17,2,106,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,E2W,PUR ENERGY PVT LTD,0,10,10,15,45,15,0,95,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,E2W,REVOLT INTELLICORP PVT LTD,0,1,0,1,0,0,1,3,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,E2W,TVS MOTOR COMPANY LTD,26,14,32,29,37,27,0,165,0,0,0
