State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,AKG INTERNATIONAL,5,13,8,11,8,6,0,51,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,ALVI AUTO,1,0,0,1,0,0,0,2,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,AMAN ELECTRIC VEHICLES,5,3,1,7,4,5,0,25,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,AVL ELECTRIC VEHICLES PVT LTD,6,5,6,3,0,6,0,26,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,BABA E-VEHICLES,1,2,5,9,2,4,0,23,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,BEST WAY AGENCIES PVT LTD,0,0,0,0,0,3,0,3,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,BHARATH MOTOCORP,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,DAKSH INDUSTRIES,5,3,4,2,3,4,0,21,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,DEV MOTORS,0,2,2,1,0,0,0,5,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,DILLI ELECTRIC AUTO PVT LTD,0,0,9,11,9,2,0,31,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,HOTAGE INDIA,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,KHALSAE-VEHICLES PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,LALA G E RICKSHAW AND SPARE PARTS,2,0,2,4,3,1,0,12,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,MALI ENTERPRISES PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,MILLENNIAL MOTORS LLP,0,0,0,5,5,8,0,18,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,MINI METRO EV L.L.P,3,2,3,5,1,7,0,21,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,PARAS INDUSTRIES,0,0,0,0,4,1,0,5,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,PARI METRO E RICKSHAW,5,4,2,21,18,3,0,53,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,SAIF AUTO LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,SAMRAT ELECTRIC VEHICLE,2,1,1,4,2,3,1,14,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,SIRF INDIA VEHICLES PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,SKS TRADE INDIA PVT LTD,1,0,1,0,0,0,0,2,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,STAR BULL E MOTORS,0,1,0,1,1,2,0,5,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,STAR INDUSTRIES,0,0,0,0,1,0,1,2,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,SUPER POWER MOTORS,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,UNIQUE AUTO ELECTRIC,6,5,1,12,2,0,0,26,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,UNIQUE ENTERPRISES,1,0,0,0,12,3,0,16,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,UNIQUE INTERNATIONAL,7,1,8,8,5,4,0,33,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,UP FURNITURE,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,VAISHNAVI INDUSTRIES,0,0,0,0,0,5,4,9,0,0,0
Uttar Pradesh,SHAMLI ARTO - UP19,L3P,YC ELECTRIC VEHICLE,2,1,4,6,10,1,0,24,0,0,0
