State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,SONBHADRA - UP64,E2W,ATHER ENERGY LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,SONBHADRA - UP64,E2W,BAJAJ AUTO LTD,0,0,0,1,1,0,0,0,0,0,0,2
Uttar Pradesh,SONBHADRA - UP64,E2W,GOREEN E-MOBILITY PVT LTD,0,0,0,0,0,0,0,0,2,0,0,0
Uttar Pradesh,SONBHADRA - UP64,E2W,HERO ELECTRIC VEHICLES PVT. LTD,2,2,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,SONBHADRA - UP64,E2W,HERO MOTOCORP LTD,0,0,0,0,0,0,0,1,0,0,1,0
Uttar Pradesh,SONBHADRA - UP64,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,SONBHADRA - UP64,E2W,ODYSSE ELECTRIC VEHICLES PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,SONBHADRA - UP64,E2W,OKAYA EV PVT LTD,0,0,1,0,0,4,0,0,0,0,4,0
Uttar Pradesh,SONBHADRA - UP64,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,7,7,15,15,5,6,13,2,3,7,4,2
Uttar Pradesh,SONBHADRA - UP64,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,0,0,0,0,2,0,0,4,0
Uttar Pradesh,SONBHADRA - UP64,E2W,TVS MOTOR COMPANY LTD,1,0,2,0,0,0,1,0,4,25,11,7
Uttar Pradesh,SONBHADRA - UP64,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,14,6,7,8,17,6,6,4,6,6,12,15
Uttar Pradesh,SONBHADRA - UP64,E2W,WUXI SHENGBAO (IMPORTER:ELECTRIC ONE ENERGY),0,1,0,0,0,0,2,0,0,0,0,0
