State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Sambhal ARTO - UP38,L3G,ATTOLENT AUTO GROUP PVT LTD,0,0,0,0,0,0,0,0,3,2,0,0
Uttar Pradesh,Sambhal ARTO - UP38,L3G,CHAMPION POLY PLAST,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Sambhal ARTO - UP38,L3G,DAKSH INDUSTRIES,0,0,0,0,0,0,0,0,2,1,0,2
Uttar Pradesh,Sambhal ARTO - UP38,L3G,FIRST CHOICE ELECTRIC VEHICLES PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Sambhal ARTO - UP38,L3G,GREENFIT INDUSTRIES LLP,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Sambhal ARTO - UP38,L3G,INDIAN MOTORS,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Sambhal ARTO - UP38,L3G,JESSUN TECHNO PVT LTD,0,0,0,0,0,0,2,0,0,0,0,0
Uttar Pradesh,Sambhal ARTO - UP38,L3G,KHALSAE-VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Sambhal ARTO - UP38,L3G,MAC AUTO INDIA,6,4,0,0,0,0,0,0,4,0,0,0
Uttar Pradesh,Sambhal ARTO - UP38,L3G,MOMU AUTOMOTIVE,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Sambhal ARTO - UP38,L3G,SHREE MARUTI NANDAN BUSINESSS (P) LTD,0,0,1,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Sambhal ARTO - UP38,L3G,SSEV ENTERPRISES PRIVATE LIMITED,0,0,1,0,0,2,0,0,0,0,1,0
Uttar Pradesh,Sambhal ARTO - UP38,L3G,T U K INDUSTRIES,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Sambhal ARTO - UP38,L3G,TWO FRIENDS AUTO ELECTRIC PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Sambhal ARTO - UP38,L3G,UNIQUE INTERNATIONAL,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Sambhal ARTO - UP38,L3G,YC ELECTRIC VEHICLE,6,2,9,0,3,6,2,2,1,3,1,5
