State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,AAHANA COMMERCE PVT LTD,0,0,0,0,0,0,2,1,1,1,0,1
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,AMBIKA INDUSTRIES,3,2,8,0,0,3,0,0,0,0,0,6
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,ATUT SANGAM,0,0,0,2,0,0,0,0,0,0,0,1
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,BHM INDUSTRIES,0,1,0,0,0,4,0,0,1,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,BRIGHT AUTOZONE PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,CHAMPION POLY PLAST,0,0,0,0,0,0,1,2,0,1,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,DILLI ELECTRIC AUTO PVT LTD,0,2,3,0,1,0,0,1,0,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,ENERGY ELECTRIC VEHICLES,0,0,0,0,1,0,2,1,0,1,1,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,GOPAL AUTO MOTORS PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,GREENWHEELS AUTOMOBILE PVT LTD,0,1,0,0,0,1,0,2,0,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,INDIAN MOTORS,0,0,0,0,0,0,0,0,0,0,1,3
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,J. S. AUTO (P) LTD,4,3,4,3,7,5,4,6,4,9,8,7
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,LECTRIX E VEHICLES PVT LTD,1,0,0,0,0,0,3,0,0,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,MANITA CITY MOTORS LLP,0,0,0,0,0,0,2,0,0,2,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,1,1,0,1,0,0,0,1,2,1,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,1,0,0,0,1,0,0,0,0,0,0,5
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,SAERA ELECTRIC AUTO PVT LTD,0,0,1,1,0,1,0,0,1,0,0,1
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,SKS TRADE INDIA PVT LTD,0,2,2,0,1,0,0,1,0,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,TERRA MOTORS INDIA PVT LTD,0,1,0,0,2,3,0,1,0,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,T U K INDUSTRIES,1,1,0,0,0,0,0,0,1,0,2,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,TWO FRIENDS AUTO ELECTRIC PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,UNIQUE INTERNATIONAL,1,1,0,0,3,0,0,0,0,0,1,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,0,1,6,0,0,1,1,3,0,3,2,4
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,YC ELECTRIC VEHICLE,1,5,2,3,3,6,2,3,2,3,5,4
