State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,AAHANA COMMERCE PVT LTD,3,0,0,0,0,1,0,4,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,AMBIKA INDUSTRIES,0,0,0,0,6,5,0,11,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,ATTOLENT AUTO GROUP PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,BHM INDUSTRIES,1,3,0,0,2,0,0,6,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,BRIGHT AUTOZONE PVT LTD,0,0,0,2,0,0,0,2,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,CHAMPION POLY PLAST,0,1,0,1,0,0,0,2,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,DILLI ELECTRIC AUTO PVT LTD,1,0,1,1,0,0,0,3,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,ENERGY ELECTRIC VEHICLES,0,2,1,3,2,5,0,13,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,HARSH TRADING CO,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,INDIAN MOTORS,0,1,0,1,2,0,0,4,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,J. S. AUTO (P) LTD,11,13,7,10,9,9,1,60,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,LAKSHYA MOTORS,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,LECTRIX E VEHICLES PVT LTD,1,1,2,2,0,0,0,6,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,MANITA CITY MOTORS LLP,0,1,1,0,1,0,0,3,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,3,0,4,2,0,0,9,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,RAYON ENGINEERS,0,0,0,1,1,1,0,3,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,SAERA ELECTRIC AUTO PVT LTD,0,1,0,1,0,2,0,4,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,SIRF INDIA VEHICLES PVT LTD,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,SKS TRADE INDIA PVT LTD,0,2,0,2,0,0,0,4,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,T U K INDUSTRIES,1,1,1,0,0,0,0,3,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,UNIQUE INTERNATIONAL,2,0,1,1,0,1,0,5,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,0,3,4,1,2,3,0,13,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,YC ELECTRIC VEHICLE,2,0,8,2,4,1,0,17,0,0,0
Uttar Pradesh,Sant Kabir Nagar - UP58,L3G,ZENIAK INNOVATION INDIA LTD,0,1,0,0,0,0,0,1,0,0,0
