State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Shravasti - UP46,L3P,ALLENTTI MOTORS PVT LTD,0,0,0,0,0,0,0,0,1,1,1,0
Uttar Pradesh,Shravasti - UP46,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,2,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Shravasti - UP46,L3P,AMBIKA INDUSTRIES,0,0,3,0,1,1,0,0,0,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,ASHA IMPEX,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,ATUT SANGAM,4,0,0,1,0,1,1,1,1,1,2,0
Uttar Pradesh,Shravasti - UP46,L3P,BEST WAY AGENCIES PVT LTD,2,1,2,1,0,0,0,4,1,0,1,0
Uttar Pradesh,Shravasti - UP46,L3P,BRIGHT AUTOZONE PVT LTD,0,0,1,0,1,0,0,0,0,4,0,0
Uttar Pradesh,Shravasti - UP46,L3P,CHAMPION POLY PLAST,12,15,8,11,14,15,7,1,13,4,8,13
Uttar Pradesh,Shravasti - UP46,L3P,DAKSH INDUSTRIES,0,0,0,0,1,1,0,0,0,2,2,0
Uttar Pradesh,Shravasti - UP46,L3P,DE EUSI MOTORS PVT LTD.,0,0,0,0,0,1,2,7,3,1,7,2
Uttar Pradesh,Shravasti - UP46,L3P,DELTA AUTOCORP LTD,0,0,0,0,0,0,0,0,0,0,0,2
Uttar Pradesh,Shravasti - UP46,L3P,DEV MOTORS,0,0,0,0,0,2,4,0,4,1,0,0
Uttar Pradesh,Shravasti - UP46,L3P,DILLI ELECTRIC AUTO PVT LTD,12,3,4,4,9,5,5,11,7,8,9,5
Uttar Pradesh,Shravasti - UP46,L3P,DUKE AUTO INDIA,1,5,3,0,0,0,0,3,0,3,0,0
Uttar Pradesh,Shravasti - UP46,L3P,ENERGY ELECTRIC VEHICLES,1,0,2,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,EXTREME MOTORS,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,5,3,2,1,3,3,2,0,1,1,2,1
Uttar Pradesh,Shravasti - UP46,L3P,GRD MOTORS,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,GREEN IMPEX,3,0,0,0,0,0,1,1,0,2,0,0
Uttar Pradesh,Shravasti - UP46,L3P,GREENWHEELS AUTOMOBILE PVT LTD,1,2,0,0,0,0,1,0,0,0,1,0
Uttar Pradesh,Shravasti - UP46,L3P,HI-TECH INDUSTRIES,0,4,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,HOTAGE INDIA,5,10,1,1,3,1,3,3,6,0,6,7
Uttar Pradesh,Shravasti - UP46,L3P,HUNDAL INDUSTRIES,4,1,2,1,1,2,2,0,0,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,INDIAN MOTORS,0,0,0,0,0,1,0,0,0,4,1,0
Uttar Pradesh,Shravasti - UP46,L3P,JAISIK BUSINESS LINKS PVT LTD,0,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,JMT VEHICLES PVT LTD,1,0,0,0,0,0,0,0,0,4,13,1
Uttar Pradesh,Shravasti - UP46,L3P,J. S. AUTO (P) LTD,14,11,2,8,8,9,11,9,4,4,2,9
Uttar Pradesh,Shravasti - UP46,L3P,KHALSAE-VEHICLES PVT LTD,0,0,0,0,0,0,2,0,1,0,4,3
Uttar Pradesh,Shravasti - UP46,L3P,KRISHNA ENGINEERING WORKS,1,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,LECTRIX E VEHICLES PVT LTD,0,9,2,0,0,1,0,3,5,5,1,3
Uttar Pradesh,Shravasti - UP46,L3P,LOHIA AUTO INDUSTRIES,0,0,0,0,0,8,0,0,7,0,0,0
