State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Shravasti - UP46,L3P,ALIED E MOBILITY PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,ATUT SANGAM,0,1,1,1,1,0,0,4,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,BAXY LTD,0,3,1,3,3,1,0,11,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,BEST WAY AGENCIES PVT LTD,1,3,1,0,0,0,0,5,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,BRIGHT AUTOZONE PVT LTD,0,0,1,0,7,1,0,9,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,CHAMPION POLY PLAST,19,5,11,35,20,14,0,104,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,DE EUSI MOTORS PVT LTD.,8,0,1,3,1,0,0,13,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,DELTA AUTOCORP LTD,2,2,0,2,4,1,0,11,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,DEV MOTORS,3,0,0,10,1,0,0,14,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,DILLI ELECTRIC AUTO PVT LTD,4,3,5,4,9,4,0,29,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,DUKE AUTO INDIA,0,5,0,1,2,0,0,8,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,ENERGY ELECTRIC VEHICLES,0,1,1,1,1,0,0,4,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,1,2,0,0,0,0,0,3,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,GREEN IMPEX,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,GREENWHEELS AUTOMOBILE PVT LTD,1,2,0,0,1,0,0,4,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,HOTAGE INDIA,3,3,5,21,8,3,0,43,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,HUNDAL INDUSTRIES,0,1,0,2,0,0,0,3,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,INDIAN MOTORS,1,0,0,9,2,0,0,12,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,INTERGLOBE ENERGY PVT LTD,1,1,0,2,3,0,0,7,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,JMT VEHICLES PVT LTD,1,4,2,3,3,2,0,15,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,J. S. AUTO (P) LTD,2,5,5,10,9,4,0,35,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,KGN,0,0,0,0,0,3,0,3,0,0,0
Uttar Pradesh,Shravasti - UP46,L3P,KHALSAE-VEHICLES PVT LTD,0,1,3,1,0,1,0,6,0,0,0
