State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,E2W,ATHER ENERGY LTD,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,E2W,BAJAJ AUTO LTD,0,0,1,1,0,2,0,4,2,2,15,7
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,3,0,1,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,1,0,0,0,1,0,1,0,2,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,E2W,HERO MOTOCORP LTD,0,0,0,0,1,0,0,0,0,0,1,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,E2W,KLB KOMAKI PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,E2W,LECTRIX E VEHICLES PVT LTD,2,1,4,0,1,2,1,1,0,0,1,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,E2W,OKAYA EV PVT LTD,2,4,11,1,8,7,9,6,6,5,4,6
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,E2W,OKINAWA AUTOTECH PVT LTD,0,0,0,1,1,0,0,0,0,0,0,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,13,8,13,6,8,11,3,4,3,3,0,2
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,E2W,REVOLT INTELLICORP PVT LTD,2,1,0,0,2,1,1,0,1,0,3,2
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,E2W,RGM BUSINESS PLUS PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,E2W,TVS MOTOR COMPANY LTD,1,0,0,0,0,0,1,1,0,6,6,1
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,0,0,0,2,0,0,0,1,0
