State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,3S INDUSTRIES PRIVATE LIMITED,0,0,1,0,1,0,0,0,3,0,0,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,ACCRETION POWER AUTOS,0,0,0,0,0,0,0,0,3,0,0,2
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,AKG INTERNATIONAL,0,0,1,0,0,0,0,0,0,0,1,1
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,ALLENTTI MOTORS PVT LTD,1,0,2,4,0,4,3,2,2,0,0,1
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,6,0,4,1,0,0,0,0,0,3,4,1
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,AMBIKA INDUSTRIES,0,0,3,2,1,0,1,0,0,0,0,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,APM AUTO SALES,0,0,0,0,0,0,0,1,0,0,1,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,ATUL AUTO LTD,0,0,0,0,0,0,0,0,0,0,1,2
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,ATUT SANGAM,0,5,2,2,0,2,0,0,0,0,1,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,BALI AUTO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,BEST WAY AGENCIES PVT LTD,0,0,0,0,0,0,5,0,0,0,4,5
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,BHM INDUSTRIES,2,0,7,0,4,0,3,0,1,2,0,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,BRIGHT AUTOZONE PVT LTD,0,1,2,2,0,0,0,0,0,0,0,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,CEEON INDIA,0,9,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,CHAMPION POLY PLAST,3,1,1,10,5,3,0,3,2,5,3,8
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,0,0,2,1,2,0,0,2,1,1,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,DAKSH INDUSTRIES,3,1,0,1,2,0,0,0,1,0,0,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,DELTA AUTOCORP LTD,0,0,3,0,3,0,1,3,4,2,2,2
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,DEV MOTORS,0,0,0,0,0,0,3,0,1,0,7,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,DILLI ELECTRIC AUTO PVT LTD,12,13,7,10,12,13,7,19,13,11,0,1
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,DIVYA ENTERPRISES,1,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,DUKE AUTO INDIA,0,1,0,0,0,0,5,2,0,0,2,3
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,ELITE AUTO ENGINEERS PVT LTD,10,5,6,1,0,0,0,0,6,7,1,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,E-MOTION AUTOMOTIVE INDUSTRY LLP,0,0,0,0,0,0,0,0,0,3,0,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,ENERGY ELECTRIC VEHICLES,4,1,1,4,1,1,3,4,3,0,1,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,EVCO AUTOMOBILES PVT LTD,0,0,0,0,0,6,14,5,5,2,7,5
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,1,0,1,3,1,2,1,1,2,2,0,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,GRD MOTORS,0,0,0,0,0,0,0,0,0,0,3,2
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,GREEN IMPEX,0,0,7,3,0,2,0,4,0,7,0,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,HOTAGE INDIA,6,14,14,4,4,8,14,6,2,16,3,15
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,INDIAN MOTORS,7,11,3,7,7,4,6,2,4,2,3,1
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,JITENDRA TEMPO PARTS,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,JMT VEHICLES PVT LTD,0,2,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,J. S. AUTO (P) LTD,8,9,42,5,3,17,11,7,5,16,1,6
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,KHALSAE-VEHICLES PVT LTD,3,0,3,2,8,1,3,8,14,4,7,12
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,LECTRIX E VEHICLES PVT LTD,11,10,12,11,4,14,10,7,11,11,8,6
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,MAA SHAKTI EXIM PVT LTD,0,2,0,0,0,0,0,0,2,0,0,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,7,0,2,0,1,0,2,1,1
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,MAHINDRA & MAHINDRA LIMITED,0,0,2,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,MAHTAB BODY MAKER,1,2,0,0,0,0,0,0,0,1,4,1
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,MANITA CITY MOTORS LLP,0,0,0,0,3,0,1,1,1,2,0,5
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,M/S SHRIRAM AUTO TECH PVT LTD,0,0,0,0,0,0,0,3,11,10,6,3
Uttar Pradesh,Siddharth Nagar(naugarh) - UP55,L3P,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,1,0,1,0,3,0,0,2,3,2,3,1
