State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Sitapur - UP34,ICE,BAJAJ AUTO LTD,341,323,472,496,399,351,346,284,221,431,903,191
Uttar Pradesh,Sitapur - UP34,ICE,BMW INDIA PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Sitapur - UP34,ICE,CLASSIC LEGENDS PVT LTD,0,1,0,1,0,1,0,1,2,0,2,0
Uttar Pradesh,Sitapur - UP34,ICE,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Sitapur - UP34,ICE,HERO MOTOCORP LTD,"1,541","2,188","2,725","3,662","2,769","1,839","2,070","1,261",719,"1,612","3,407",969
Uttar Pradesh,Sitapur - UP34,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,131,158,165,244,175,142,176,130,115,163,428,69
Uttar Pradesh,Sitapur - UP34,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Sitapur - UP34,ICE,INDIA YAMAHA MOTOR PVT LTD,8,9,13,19,9,14,8,6,8,21,11,6
Uttar Pradesh,Sitapur - UP34,ICE,PIAGGIO VEHICLES PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Sitapur - UP34,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),62,99,76,98,50,32,43,31,18,79,93,42
Uttar Pradesh,Sitapur - UP34,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,5,2,6,5,10,8,3,4,9,5,6,5
Uttar Pradesh,Sitapur - UP34,ICE,TVS MOTOR COMPANY LTD,439,590,701,"1,025",654,495,536,397,277,561,"1,194",389
