State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Sitapur - UP34,L3G,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,1,0,1,0,0,0,0,0,0
Uttar Pradesh,Sitapur - UP34,L3G,ARCHIT ENTERPRISES,0,0,0,1,0,1,0,1,2,0,0,1
Uttar Pradesh,Sitapur - UP34,L3G,BRIGHT AUTOZONE PVT LTD,1,2,5,0,2,3,1,0,0,1,1,0
Uttar Pradesh,Sitapur - UP34,L3G,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,1,1,0,2
Uttar Pradesh,Sitapur - UP34,L3G,ELITE AUTO ENGINEERS PVT LTD,2,0,0,1,2,2,0,0,0,4,0,0
Uttar Pradesh,Sitapur - UP34,L3G,ENERGY ELECTRIC VEHICLES,0,0,2,1,2,4,0,1,1,0,0,1
Uttar Pradesh,Sitapur - UP34,L3G,GREENWHEELS AUTOMOBILE PVT LTD,0,0,0,0,1,1,0,0,0,0,0,0
Uttar Pradesh,Sitapur - UP34,L3G,HOTAGE INDIA,0,1,0,0,0,1,5,1,1,0,1,2
Uttar Pradesh,Sitapur - UP34,L3G,JITENDRA TEMPO PARTS,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Sitapur - UP34,L3G,J. S. AUTO (P) LTD,1,3,4,0,2,0,1,0,2,1,1,2
Uttar Pradesh,Sitapur - UP34,L3G,JS MOBILEON PVT LTD,0,0,0,0,0,0,0,0,0,0,0,4
Uttar Pradesh,Sitapur - UP34,L3G,KANHA ELECTRIC VEHICLES,0,0,0,0,0,0,0,1,0,1,0,0
Uttar Pradesh,Sitapur - UP34,L3G,KAPTECH INDIA PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Sitapur - UP34,L3G,LECTRIX E VEHICLES PVT LTD,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Sitapur - UP34,L3G,LIONIZE AUTOMOBILE PVT LTD,0,0,0,0,0,1,0,1,0,0,0,2
Uttar Pradesh,Sitapur - UP34,L3G,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Sitapur - UP34,L3G,MAHINDRA & MAHINDRA LIMITED,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Sitapur - UP34,L3G,MANITA CITY MOTORS LLP,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Sitapur - UP34,L3G,MINI METRO EV L.L.P,1,1,0,1,0,0,0,0,1,5,0,3
Uttar Pradesh,Sitapur - UP34,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Sitapur - UP34,L3G,RICHFORD ALLIANZ PVT LTD,0,0,0,0,0,2,2,1,0,2,4,5
Uttar Pradesh,Sitapur - UP34,L3G,SAERA ELECTRIC AUTO PVT LTD,0,1,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Sitapur - UP34,L3G,SAHNIANAND E VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Sitapur - UP34,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,1,1,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Sitapur - UP34,L3G,SHRIRAJ ELECTRIC VEHICLES,2,5,6,2,2,3,1,1,2,1,0,0
Uttar Pradesh,Sitapur - UP34,L3G,SKS TRADE INDIA PVT LTD,0,0,0,0,1,1,0,1,1,0,0,0
Uttar Pradesh,Sitapur - UP34,L3G,THUKRAL ELECTRIC BIKES PVT LTD,0,0,1,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Sitapur - UP34,L3G,TRISHIKA INDUSTRIES,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Sitapur - UP34,L3G,T U K INDUSTRIES,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Sitapur - UP34,L3G,TWO FRIENDS AUTO ELECTRIC PVT LTD,0,1,0,2,1,1,0,2,0,0,0,1
Uttar Pradesh,Sitapur - UP34,L3G,UNIQUE ENTERPRISES,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Sitapur - UP34,L3G,UNIQUE INTERNATIONAL,0,3,1,2,3,0,0,1,1,1,0,2
Uttar Pradesh,Sitapur - UP34,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,0,0,1,0,2,3,1,0,0,0,0,0
Uttar Pradesh,Sitapur - UP34,L3G,VIJAYSHREE AUTOCOM LIMITED,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Sitapur - UP34,L3G,YC ELECTRIC VEHICLE,1,1,2,2,3,2,3,2,0,1,1,0
