State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Sultanpur - UP44,E2W,ATHER ENERGY LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,E2W,BAJAJ AUTO LTD,0,1,0,0,0,2,5,3,10,17,24,10
Uttar Pradesh,Sultanpur - UP44,E2W,ENGTIAN ELECTRIC BIKE PVT LTD,0,0,0,0,0,1,2,0,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,E2W,HERO MOTOCORP LTD,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Sultanpur - UP44,E2W,HOMFEEL VEGH AUTOMOBILES PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,E2W,JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,E2W,MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Sultanpur - UP44,E2W,OKAYA EV PVT LTD,2,1,4,3,3,2,2,1,0,3,3,2
Uttar Pradesh,Sultanpur - UP44,E2W,OKINAWA AUTOTECH PVT LTD,0,0,1,0,2,0,0,0,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,14,23,33,25,22,20,34,23,19,31,17,13
Uttar Pradesh,Sultanpur - UP44,E2W,REVOLT INTELLICORP PVT LTD,0,1,0,0,0,0,0,0,0,1,2,0
Uttar Pradesh,Sultanpur - UP44,E2W,THUKRAL ELECTRIC BIKES PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,E2W,TVS MOTOR COMPANY LTD,0,0,0,1,0,0,0,0,0,4,2,6
Uttar Pradesh,Sultanpur - UP44,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,1,7,4,7,4,4,9,5,2,1,7,3
Uttar Pradesh,Sultanpur - UP44,E2W,WUXI SHENGBAO (IMPORTER:ELECTRIC ONE ENERGY),0,0,0,0,0,1,0,0,0,0,0,0
