State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Sultanpur - UP44,L3G,3S INDUSTRIES PRIVATE LIMITED,0,1,0,0,0,1,0,0,2,3,1,0
Uttar Pradesh,Sultanpur - UP44,L3G,ACCRETION POWER AUTOS,0,0,1,0,0,0,0,0,3,0,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,ADM TECHNOLOGIES PVT. LTD.,0,0,1,0,2,0,0,0,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,AJAY MOTORS PRIVATE LIMITED,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Sultanpur - UP44,L3G,APM AUTO SALES,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Sultanpur - UP44,L3G,ATUT SANGAM,0,2,0,0,1,1,1,2,0,1,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,B24 ROKET EV,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,BABA E-VEHICLES,0,0,1,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,BALI AUTO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Sultanpur - UP44,L3G,BEST WAY AGENCIES PVT LTD,0,1,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,BHAVE ELECTRIC VEHICLES PVT LTD,0,0,0,1,0,1,1,1,2,1,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,BHM INDUSTRIES,0,0,0,1,0,0,0,1,0,0,1,0
Uttar Pradesh,Sultanpur - UP44,L3G,BRIGHT AUTOZONE PVT LTD,0,1,0,1,0,1,1,0,1,1,2,0
Uttar Pradesh,Sultanpur - UP44,L3G,CELLETRON MOTOR WORKS,0,0,0,0,0,0,0,0,0,0,0,6
Uttar Pradesh,Sultanpur - UP44,L3G,DE EUSI MOTORS PVT LTD.,0,0,0,0,0,0,0,0,5,1,6,2
Uttar Pradesh,Sultanpur - UP44,L3G,DILLI ELECTRIC AUTO PVT LTD,6,11,5,8,9,12,16,8,7,8,15,8
Uttar Pradesh,Sultanpur - UP44,L3G,DUKE AUTO INDIA,0,0,0,0,0,0,0,0,0,1,2,1
Uttar Pradesh,Sultanpur - UP44,L3G,ELITE AUTO ENGINEERS PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,ENERGY ELECTRIC VEHICLES,3,4,4,2,5,6,3,2,6,2,6,8
Uttar Pradesh,Sultanpur - UP44,L3G,EXIDE INDUSTRIES LTD,0,2,0,1,0,1,0,0,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,FIRST CHOICE ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1,1,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,GREENWHEELS AUTOMOBILE PVT LTD,2,0,0,0,0,0,3,0,1,2,2,0
Uttar Pradesh,Sultanpur - UP44,L3G,HOTAGE INDIA,0,0,0,1,1,1,0,0,2,0,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,JMT VEHICLES PVT LTD,0,0,0,0,0,2,0,0,0,2,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,J. S. AUTO (P) LTD,1,1,5,4,2,12,4,7,4,1,9,2
Uttar Pradesh,Sultanpur - UP44,L3G,JS MOBILEON PVT LTD,0,0,0,0,0,2,0,1,1,0,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,KGN,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,MAA SHAKTI EXIM PVT LTD,0,0,1,1,2,0,0,2,1,0,0,1
Uttar Pradesh,Sultanpur - UP44,L3G,MINI METRO EV L.L.P,0,1,6,1,2,3,2,1,2,0,4,2
Uttar Pradesh,Sultanpur - UP44,L3G,M/S SHRIRAM AUTO TECH PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Sultanpur - UP44,L3G,NEW ARCANA INDIA,0,0,0,0,0,0,0,0,1,1,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Sultanpur - UP44,L3G,OK PLAY INDIA LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,1,2,1,3,3,7,3,2,4,3,2
Uttar Pradesh,Sultanpur - UP44,L3G,POOSHPAK AUTOMOBILES PVT LTD,0,0,1,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,RACHANACREATIONS AUTO PVT LTD,0,0,0,0,0,0,1,0,0,2,8,6
Uttar Pradesh,Sultanpur - UP44,L3G,SAERA ELECTRIC AUTO PVT LTD,0,1,0,0,4,0,1,1,0,0,1,0
Uttar Pradesh,Sultanpur - UP44,L3G,SAHNIANAND E VEHICLES PVT LTD,0,0,1,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,SHAILENDRA AUTOS PVT LTD,0,0,0,0,1,0,1,0,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,SHIGAN EVOLTZ LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,3,0
Uttar Pradesh,Sultanpur - UP44,L3G,SKS TRADE INDIA PVT LTD,2,0,1,0,0,0,2,1,0,0,1,2
Uttar Pradesh,Sultanpur - UP44,L3G,STAR INDUSTRIES,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,THUKRAL ELECTRIC BIKES PVT LTD,14,10,17,11,11,9,13,10,13,14,19,29
Uttar Pradesh,Sultanpur - UP44,L3G,T U K INDUSTRIES,0,0,0,0,0,1,0,1,0,0,0,1
Uttar Pradesh,Sultanpur - UP44,L3G,TWO FRIENDS AUTO ELECTRIC PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,U.P. TELELINKS LIMITED,1,1,1,0,0,0,3,0,1,2,2,3
Uttar Pradesh,Sultanpur - UP44,L3G,URWASHI ENTERPRISES,0,0,0,0,0,3,1,0,2,3,2,2
Uttar Pradesh,Sultanpur - UP44,L3G,VICTORY ELECTRIC INTERNATIONAL,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Sultanpur - UP44,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,0,0,8,0,2,4,2,1,4,1,0,2
Uttar Pradesh,Sultanpur - UP44,L3G,YC ELECTRIC VEHICLE,0,3,0,0,0,0,0,0,0,0,0,0
