State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Sultanpur - UP44,E2W,BAJAJ AUTO LTD,4,20,14,12,6,18,0,74,0,0,0
Uttar Pradesh,Sultanpur - UP44,E2W,ENGTIAN ELECTRIC BIKE PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Sultanpur - UP44,E2W,HERO MOTOCORP LTD,0,0,6,2,4,3,0,15,0,0,0
Uttar Pradesh,Sultanpur - UP44,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,4,0,0,0,0,0,0,4,0,0,0
Uttar Pradesh,Sultanpur - UP44,E2W,MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),1,0,0,1,0,0,0,2,0,0,0
Uttar Pradesh,Sultanpur - UP44,E2W,OBEN ELECTRIC VEHICLES PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Sultanpur - UP44,E2W,OKAYA EV PVT LTD,0,0,2,0,3,0,0,5,0,0,0
Uttar Pradesh,Sultanpur - UP44,E2W,OKINAWA AUTOTECH PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Sultanpur - UP44,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,21,6,22,21,16,17,2,105,0,0,0
Uttar Pradesh,Sultanpur - UP44,E2W,PUR ENERGY PVT LTD,0,0,25,30,75,15,0,145,0,0,0
Uttar Pradesh,Sultanpur - UP44,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Sultanpur - UP44,E2W,TVS MOTOR COMPANY LTD,3,5,12,5,12,5,3,45,0,0,0
Uttar Pradesh,Sultanpur - UP44,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,3,4,0,0,7,0,0,0
