State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,E2W,AFTEK MOTORS INDIA PVT LTD,0,0,4,0,2,1,0,1,0,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,E2W,ATHER ENERGY LTD,14,19,54,19,20,23,34,36,62,50,66,37
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,E2W,ATUMOBILE PVT LTD,0,0,0,0,0,0,0,1,0,0,1,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,E2W,BAJAJ AUTO LTD,38,47,60,19,2,81,119,133,108,304,187,121
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,1,1,0,0,0,0,0,0,0,0,0,2
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,E2W,BGAUSS AUTO PRIVATE LIMITED,22,19,47,5,16,9,23,15,8,9,4,5
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,E2W,BOUNCE ELECTRIC 1 PVT LTD,0,0,0,0,0,0,0,0,0,0,0,221
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,E2W,ENGTIAN ELECTRIC BIKE PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,E2W,ENIGMA AUTOMOBILES PVT LTD,0,0,0,0,0,6,1,0,0,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,1,1,0,0,0,12,1,9,5,5,17,5
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,1,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,E2W,HERO MOTOCORP LTD,13,18,29,10,30,26,110,67,72,101,129,26
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,E2W,HOP ELECTRIC MOBILITY PVT LTD,0,0,0,1,0,0,1,1,0,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,E2W,IVOOMI INNOVATION PVT LTD,1,0,0,0,3,0,0,0,1,0,0,0
