State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,ICE,ADISHWAR AUTO RIDE INDIA PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,ICE,BAJAJ AUTO LTD,589,746,674,856,693,583,597,585,447,"1,180",958,637
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,ICE,BMW INDIA PVT LTD,10,6,18,6,8,6,8,8,7,7,9,3
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,ICE,CLASSIC LEGENDS PVT LTD,7,10,7,9,7,4,11,9,9,33,22,14
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,ICE,DUCATI INDIA PVT LTD,0,1,0,0,1,0,0,1,0,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,ICE,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),0,2,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,ICE,HERO MOTOCORP LTD,"2,765","3,222","3,525","4,111","3,238","2,776","3,291","3,100","2,219","4,294","4,415","2,189"
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,"1,669","1,975","1,645","2,020","1,804","1,382","1,868","1,762","1,649","2,816","2,563","1,296"
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,ICE,INDIA KAWASAKI MOTORS PVT LTD,5,2,3,1,4,0,2,2,3,2,1,3
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,ICE,INDIA YAMAHA MOTOR PVT LTD,136,182,154,193,167,168,167,134,169,264,259,142
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,ICE,PIAGGIO VEHICLES PVT LTD,4,2,5,6,11,11,5,1,4,5,12,4
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),528,682,505,825,422,446,378,414,441,"1,008",630,377
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,215,176,170,299,197,142,289,260,230,328,336,172
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,ICE,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,0,0,0,0,0,0,1,0,0,1,1,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,ICE,TVS MOTOR COMPANY LTD,"1,211","1,470","1,237","1,651","1,216","1,117","1,093","1,125","1,221","1,993","1,776",982
