State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,ADM TECHNOLOGIES PVT. LTD.,0,0,0,0,0,0,38,0,0,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,AJAY MOTORS PRIVATE LIMITED,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,AMBIKA INDUSTRIES,0,0,0,0,0,1,0,1,0,1,1,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,ARCHIT ENTERPRISES,2,2,2,2,4,0,3,3,3,5,4,2
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,ATTOLENT AUTO GROUP PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,AVON CYCLES LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,BABA E-VEHICLES,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,BAXY LTD,0,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,BHM INDUSTRIES,0,0,0,0,0,0,1,0,0,0,1,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,BRIGHT AUTOZONE PVT LTD,6,8,10,3,7,6,7,3,8,12,7,8
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,DILLI ELECTRIC AUTO PVT LTD,0,1,0,3,2,5,3,2,3,5,1,4
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,ELITE AUTO ENGINEERS PVT LTD,0,0,1,0,0,0,0,1,0,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,ENERGY ELECTRIC VEHICLES,5,5,7,10,10,7,9,9,4,11,19,9
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,GRD MOTORS,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,GREENWHEELS AUTOMOBILE PVT LTD,3,4,3,3,2,2,2,0,1,7,4,1
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,HIM TEKNOFORGE LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,HOTAGE INDIA,4,8,6,0,0,2,2,3,3,2,1,2
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,JESSUN TECHNO PVT LTD,0,0,1,0,0,1,0,1,0,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,J. S. AUTO (P) LTD,14,35,52,5,16,4,4,1,2,3,3,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,JS MOBILEON PVT LTD,0,0,0,0,0,1,0,1,0,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,KAKKAR ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,KAPTECH INDIA PVT LTD,0,0,0,0,0,0,0,0,0,0,1,1
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,K T ENTERPRISES,1,1,1,3,0,1,1,0,0,0,0,3
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3G,LAKSHYA AUTO SALES CORPORATION,0,0,0,1,0,0,0,0,0,0,0,0
