State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L5P,ALTIGREEN PROPULSION LABS PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L5P,ATUL GREENTECH PRIVATE LIMITED,0,0,0,0,0,0,0,0,0,5,12,9
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L5P,BAJAJ AUTO LTD,176,210,374,112,161,184,295,401,223,264,338,361
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L5P,DSR EV MOBILITY PVT LTD,0,0,0,0,0,1,0,1,0,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L5P,MAHINDRA LAST MILE MOBILITY LTD,189,197,287,128,228,339,504,417,434,431,674,526
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L5P,MAHINDRA & MAHINDRA LIMITED,5,5,1,1,1,0,0,0,0,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L5P,MLR AUTO LTD,0,0,0,2,4,1,2,4,0,5,3,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L5P,OKAYA POWER PVT LTD,0,0,0,0,0,0,0,0,0,0,0,3
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L5P,OMEGA SEIKI PVT LTD,1,1,1,0,2,0,3,2,0,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L5P,PIAGGIO VEHICLES PVT LTD,115,96,127,12,103,64,94,84,100,112,156,70
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L5P,RASANDIK ENGINEERING INDUSTRIES INDIA LTD,2,4,8,5,4,1,0,0,1,3,1,3
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L5P,TI CLEAN MOBILITY PVT LTD,16,20,29,12,19,16,33,25,37,16,20,19
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L5P,TVS MOTOR COMPANY LTD,0,0,0,0,0,0,0,0,0,0,0,5
