State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,3S INDUSTRIES PRIVATE LIMITED,8,2,8,0,3,3,0,24,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,AJAY MOTORS PRIVATE LIMITED,1,0,0,0,1,0,0,2,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,ALBEDO VISION PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,AMBIKA INDUSTRIES,6,3,3,2,1,3,0,18,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,A P I MOTORS PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,ARCHIT ENTERPRISES,12,14,19,15,8,18,2,88,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,ASHMA-MOTORS PVT LTD,0,0,1,1,0,0,0,2,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,ATTOLENT AUTO GROUP PVT LTD,4,2,3,3,0,0,0,12,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,ATUT SANGAM,0,4,4,3,0,0,0,11,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,A.V.AUTOMOTIVES PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,B24 ROKET EV,0,2,1,0,3,1,0,7,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,BAGHWAN RIKSHAW UDYOG,0,1,0,3,1,0,0,5,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,BAXY LTD,9,8,7,5,0,4,0,33,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,BEST WAY AGENCIES PVT LTD,5,4,3,3,1,0,0,16,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,BHM INDUSTRIES,3,1,0,1,0,0,0,5,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,BRIGHT AUTOZONE PVT LTD,55,39,43,42,46,48,2,275,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,BSERAIL ENGINEERING PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,CHAMPION POLY PLAST,6,3,4,4,1,3,0,21,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,CHAUHAN AUTO INDUSTRIES,0,4,3,0,0,0,0,7,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,0,0,1,1,0,0,2,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,CONTINENTAL ENGINES PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,CYRUS AUTO INDUSTRIES PVT LTD,0,0,3,0,4,0,0,7,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,DAKSH INDUSTRIES,2,7,4,2,4,4,0,23,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,DIAMOND E VEHICLES,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,DILLI ELECTRIC AUTO PVT LTD,53,32,30,25,29,33,0,202,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,ECO SMART VEHICLES PVT LTD,0,0,2,1,0,0,0,3,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,ELITE AUTO ENGINEERS PVT LTD,1,0,1,0,1,0,0,3,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,ENERGY ELECTRIC VEHICLES,5,20,18,29,8,21,2,103,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,EXIDE INDUSTRIES LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,EXTREME MOTORS,0,7,0,1,0,0,0,8,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,GRD MOTORS,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,GREENWHEELS AUTOMOBILE PVT LTD,2,3,1,0,0,1,0,7,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,HARSH TRADING CO,0,0,1,1,0,0,0,2,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,HIM TEKNOFORGE LTD,1,1,2,2,5,4,0,15,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,HOOGHLY MOTORS PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,HOTAGE INDIA,16,7,6,6,8,6,1,50,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,HUNDAL INDUSTRIES,1,0,0,1,0,0,0,2,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,JAISIK BUSINESS LINKS PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,JITENDRA TEMPO PARTS,0,0,0,3,1,0,0,4,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,J. S. AUTO (P) LTD,5,0,3,5,3,4,0,20,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,KABMAX ELECTRIC AUTOMOBILES PVT. LTD,6,0,0,0,0,0,0,6,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,KAPTECH INDIA PVT LTD,1,1,0,0,0,0,0,2,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,KHALSAE-VEHICLES PVT LTD,4,0,0,0,0,0,0,4,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,2,4,56,0,1,2,0,65,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,KIRAN AUTOMOBILE INDUSTRY,0,1,1,1,0,0,0,3,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,KRISHNA ENGINEERING WORKS,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,LECTRIX E VEHICLES PVT LTD,2,3,0,0,0,0,0,5,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,LIMO AUTO CARE PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,LOHIA AUTO INDUSTRIES,0,0,0,0,0,0,1,1,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,MAHINDRA LAST MILE MOBILITY LTD,2,2,2,3,0,1,0,10,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,MAHINDRA & MAHINDRA LIMITED,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,MALAK TECHNO PVT LTD,1,2,2,3,3,0,0,11,0,0,0
Uttar Pradesh,TRANSPORT NAGAR RTO LUCKNOW (UP32) - UP32,L3P,MINI METRO EV L.L.P,2,1,7,5,7,6,0,28,0,0,0
