State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Unnao - UP35,E2W,ATHER ENERGY LTD,0,0,1,0,0,0,1,3,1,1,3,0
Uttar Pradesh,Unnao - UP35,E2W,BAJAJ AUTO LTD,1,1,1,1,0,2,5,8,4,15,19,3
Uttar Pradesh,Unnao - UP35,E2W,GOREEN E-MOBILITY PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Unnao - UP35,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,1,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Unnao - UP35,E2W,HERO MOTOCORP LTD,1,0,0,0,1,0,1,1,1,3,5,1
Uttar Pradesh,Unnao - UP35,E2W,KLB KOMAKI PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Unnao - UP35,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,30,21,39,23,36,31,42,29,20,41,19,15
Uttar Pradesh,Unnao - UP35,E2W,PUR ENERGY PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Unnao - UP35,E2W,REVOLT INTELLICORP PVT LTD,4,0,2,3,2,4,2,0,0,1,9,1
Uttar Pradesh,Unnao - UP35,E2W,TVS MOTOR COMPANY LTD,2,1,3,1,1,1,6,10,6,11,17,5
Uttar Pradesh,Unnao - UP35,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,3,4,8,4,3,4,5,5,0,0,6,1
Uttar Pradesh,Unnao - UP35,E2W,YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),1,0,0,0,0,0,0,0,0,0,0,0
