State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Unnao - UP35,L3G,ACCRETION POWER AUTOS,0,1,3,2,1,0,2,0,0,1,0,0
Uttar Pradesh,Unnao - UP35,L3G,AMBIKA INDUSTRIES,0,0,3,2,2,1,0,0,5,3,0,3
Uttar Pradesh,Unnao - UP35,L3G,APM AUTO SALES,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Unnao - UP35,L3G,ARCHIT ENTERPRISES,1,0,1,0,1,0,0,3,0,1,1,1
Uttar Pradesh,Unnao - UP35,L3G,BEST WAY AGENCIES PVT LTD,1,0,0,0,0,1,0,0,0,0,1,0
Uttar Pradesh,Unnao - UP35,L3G,BHM INDUSTRIES,1,0,0,0,0,0,2,1,0,1,0,1
Uttar Pradesh,Unnao - UP35,L3G,BRIGHT AUTOZONE PVT LTD,4,3,0,3,1,1,4,2,2,6,4,1
Uttar Pradesh,Unnao - UP35,L3G,DILLI ELECTRIC AUTO PVT LTD,2,3,6,2,2,5,5,1,4,7,10,1
Uttar Pradesh,Unnao - UP35,L3G,ENERGY ELECTRIC VEHICLES,3,0,3,3,6,5,2,0,1,9,3,4
Uttar Pradesh,Unnao - UP35,L3G,EVCO AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Unnao - UP35,L3G,GREENWHEELS AUTOMOBILE PVT LTD,0,0,1,0,2,0,2,0,0,0,1,0
Uttar Pradesh,Unnao - UP35,L3G,HARSH TRADING CO,0,0,0,0,0,0,0,0,0,0,0,3
Uttar Pradesh,Unnao - UP35,L3G,HIM TEKNOFORGE LTD,0,0,1,1,0,0,0,1,0,0,1,0
Uttar Pradesh,Unnao - UP35,L3G,HOP MOTORS PVT LTD,0,0,0,5,0,0,0,0,0,0,0,0
Uttar Pradesh,Unnao - UP35,L3G,HOTAGE INDIA,0,0,0,1,9,1,1,3,0,1,1,2
Uttar Pradesh,Unnao - UP35,L3G,JMT VEHICLES PVT LTD,0,0,0,0,1,1,0,0,0,2,0,3
Uttar Pradesh,Unnao - UP35,L3G,J. S. AUTO (P) LTD,0,2,0,0,0,1,0,1,1,5,2,0
Uttar Pradesh,Unnao - UP35,L3G,LECTRIX E VEHICLES PVT LTD,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Unnao - UP35,L3G,LOHAKA INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Unnao - UP35,L3G,LOHIA AUTO INDUSTRIES,0,0,0,0,0,0,0,0,0,1,0,1
Uttar Pradesh,Unnao - UP35,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,3,1,2,7,4,5,3,0,1,3,1
Uttar Pradesh,Unnao - UP35,L3G,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,1,1,1,1,0,0,0,1,2,0,1
Uttar Pradesh,Unnao - UP35,L3G,SAERA ELECTRIC AUTO PVT LTD,0,0,0,0,1,0,1,1,0,1,1,0
Uttar Pradesh,Unnao - UP35,L3G,SKS TRADE INDIA PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Unnao - UP35,L3G,SSB INDISTRIES,0,0,1,0,0,0,1,0,0,1,0,0
Uttar Pradesh,Unnao - UP35,L3G,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Unnao - UP35,L3G,VENUS AUTO WHEELS PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Unnao - UP35,L3G,VICTORY ELECTRIC INTERNATIONAL,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Unnao - UP35,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,0,7,6,3,5,2,3,3,1,1,1,1
Uttar Pradesh,Unnao - UP35,L3G,YC ELECTRIC VEHICLE,0,0,0,0,1,0,0,0,0,1,0,0
