State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Unnao - UP35,L3P,ACCRETION POWER AUTOS,1,0,1,0,0,1,0,0,3,2,0,1
Uttar Pradesh,Unnao - UP35,L3P,AMBIKA INDUSTRIES,7,3,3,2,2,7,4,4,5,3,6,11
Uttar Pradesh,Unnao - UP35,L3P,APM AUTO SALES,3,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Unnao - UP35,L3P,ARCHIT ENTERPRISES,23,8,8,5,12,23,13,28,19,6,18,18
Uttar Pradesh,Unnao - UP35,L3P,AVL ELECTRIC VEHICLES PVT LTD,0,1,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Unnao - UP35,L3P,BAXY LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Unnao - UP35,L3P,BEST WAY AGENCIES PVT LTD,15,4,3,12,4,12,10,10,6,7,5,7
Uttar Pradesh,Unnao - UP35,L3P,BHADAURIA ENTERPRISES,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Unnao - UP35,L3P,BHM INDUSTRIES,0,1,0,1,1,0,1,0,0,3,2,7
Uttar Pradesh,Unnao - UP35,L3P,BRIGHT AUTOZONE PVT LTD,24,10,1,6,5,10,21,19,9,10,20,12
Uttar Pradesh,Unnao - UP35,L3P,BSERAIL ENGINEERING PVT LTD,0,0,0,0,0,1,0,1,0,0,0,0
Uttar Pradesh,Unnao - UP35,L3P,CHAMPION POLY PLAST,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Unnao - UP35,L3P,CHAUHAN AUTO INDUSTRIES,21,0,0,3,10,19,1,2,1,10,11,17
Uttar Pradesh,Unnao - UP35,L3P,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Unnao - UP35,L3P,DAKSH INDUSTRIES,3,3,0,2,0,1,0,0,3,0,2,0
Uttar Pradesh,Unnao - UP35,L3P,DELTA AUTOCORP LTD,6,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Unnao - UP35,L3P,DILLI ELECTRIC AUTO PVT LTD,15,13,7,7,14,8,23,19,10,27,7,18
Uttar Pradesh,Unnao - UP35,L3P,DUKE AUTO INDIA,0,0,0,0,0,0,1,0,1,1,3,0
Uttar Pradesh,Unnao - UP35,L3P,ENERGY ELECTRIC VEHICLES,16,3,6,6,11,13,18,18,12,20,13,5
Uttar Pradesh,Unnao - UP35,L3P,EVCO AUTOMOBILES PVT LTD,0,0,0,0,2,2,0,2,2,3,4,2
Uttar Pradesh,Unnao - UP35,L3P,EXTREME MOTORS,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Unnao - UP35,L3P,GREENWHEELS AUTOMOBILE PVT LTD,0,2,0,0,0,0,0,0,0,0,2,0
Uttar Pradesh,Unnao - UP35,L3P,HARSH TRADING CO,0,0,0,0,0,0,0,0,0,0,0,8
