State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,VARANASI RTO - UP65,ICE,ADISHWAR AUTO RIDE INDIA PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,ICE,BAJAJ AUTO LTD,353,465,436,605,698,411,354,318,241,534,"1,105",526
Uttar Pradesh,VARANASI RTO - UP65,ICE,BMW INDIA PVT LTD,0,1,1,2,0,1,1,1,1,2,1,0
Uttar Pradesh,VARANASI RTO - UP65,ICE,CLASSIC LEGENDS PVT LTD,8,11,14,13,9,4,9,7,4,43,16,10
Uttar Pradesh,VARANASI RTO - UP65,ICE,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,ICE,HERO MOTOCORP LTD,"1,352","1,478","1,885","2,475","2,724","2,323","1,606","1,428",914,"2,053","4,540","1,981"
Uttar Pradesh,VARANASI RTO - UP65,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,829,"1,071","1,341","1,339","1,652","1,410","1,011","1,480",971,"1,705","3,503","1,287"
Uttar Pradesh,VARANASI RTO - UP65,ICE,INDIA KAWASAKI MOTORS PVT LTD,4,3,1,2,2,0,2,6,2,1,2,2
Uttar Pradesh,VARANASI RTO - UP65,ICE,INDIA YAMAHA MOTOR PVT LTD,90,108,98,149,106,84,116,75,78,141,229,80
Uttar Pradesh,VARANASI RTO - UP65,ICE,PIAGGIO VEHICLES PVT LTD,0,0,0,2,0,0,0,0,0,0,1,0
Uttar Pradesh,VARANASI RTO - UP65,ICE,QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO),1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),292,315,384,510,417,287,216,234,205,573,691,373
Uttar Pradesh,VARANASI RTO - UP65,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,88,89,60,157,106,57,58,68,67,121,169,101
Uttar Pradesh,VARANASI RTO - UP65,ICE,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,0,0,0,1,0,0,0,0,0,1,0,0
Uttar Pradesh,VARANASI RTO - UP65,ICE,TVS MOTOR COMPANY LTD,"1,025","1,189","1,116","1,696","1,421",901,935,862,707,"1,719","2,626","1,097"
