State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,VARANASI RTO - UP65,L3G,ACCRETION POWER AUTOS,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,ADM TECHNOLOGIES PVT. LTD.,0,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,AJAY MOTORS PRIVATE LIMITED,0,0,0,0,1,1,0,0,0,0,2,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,ALLFINE INDUSTRIES PVT LTD,0,0,0,0,2,1,0,1,0,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,AMBIKA INDUSTRIES,0,0,3,0,0,1,0,0,0,1,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,ATUL AUTO LTD,1,3,0,0,8,1,0,0,0,0,0,26
Uttar Pradesh,VARANASI RTO - UP65,L3G,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,1,0,1,4,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,BABA E-VEHICLES,0,6,6,0,0,0,0,0,0,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,BAXY LTD,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,BEST WAY AGENCIES PVT LTD,0,1,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,BHM INDUSTRIES,2,0,1,3,0,0,1,4,2,2,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,BRIGHT AUTOZONE PVT LTD,1,0,0,0,1,2,1,2,1,2,0,1
Uttar Pradesh,VARANASI RTO - UP65,L3G,CART INDIA,10,0,5,0,0,0,0,0,0,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,CEEON INDIA,0,1,1,1,1,0,0,0,0,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,CHAMPION POLY PLAST,1,1,0,0,4,0,0,0,0,0,1,1
Uttar Pradesh,VARANASI RTO - UP65,L3G,DE EUSI MOTORS PVT LTD.,0,0,0,0,0,0,1,1,1,0,1,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,DILLI ELECTRIC AUTO PVT LTD,4,6,4,3,1,2,4,2,5,10,21,4
Uttar Pradesh,VARANASI RTO - UP65,L3G,ELITE AUTO ENGINEERS PVT LTD,0,1,0,2,2,0,0,0,2,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,ENERGY ELECTRIC VEHICLES,0,0,3,3,15,0,3,2,1,1,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,EXIDE INDUSTRIES LTD,0,1,0,0,0,0,0,0,0,1,2,1
Uttar Pradesh,VARANASI RTO - UP65,L3G,GREENFIT INDUSTRIES LLP,0,0,0,0,0,0,0,0,1,0,1,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,GREENWHEELS AUTOMOBILE PVT LTD,0,0,1,0,0,1,0,1,0,1,4,3
Uttar Pradesh,VARANASI RTO - UP65,L3G,HOOGHLY MOTORS PVT LTD,0,1,0,0,0,0,0,0,0,2,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,HOP MOTORS PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,VARANASI RTO - UP65,L3G,JMT VEHICLES PVT LTD,0,0,1,0,0,0,0,1,0,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,J. S. AUTO (P) LTD,5,3,5,7,3,8,4,4,4,7,5,10
Uttar Pradesh,VARANASI RTO - UP65,L3G,KAPTECH INDIA PVT LTD,0,0,0,0,0,0,0,0,0,1,1,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,KHALSAE-VEHICLES PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,3,1,0,0,0,0,0,1,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,KLB KOMAKI PVT LTD,0,0,0,0,0,0,0,0,1,0,0,2
Uttar Pradesh,VARANASI RTO - UP65,L3G,KUKU AUTOMOTIVES,1,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,LECTRIX E VEHICLES PVT LTD,1,0,1,1,0,0,0,0,0,0,1,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,MAA SHAKTI EXIM PVT LTD,1,1,0,3,0,1,1,0,1,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,MAHINDRA LAST MILE MOBILITY LTD,2,0,1,2,1,1,0,0,2,6,2,1
Uttar Pradesh,VARANASI RTO - UP65,L3G,MINI METRO EV L.L.P,0,0,1,0,1,0,1,3,1,0,0,1
Uttar Pradesh,VARANASI RTO - UP65,L3G,MOVE STONE SERVICES PVT LTD,0,0,0,0,0,0,0,0,0,12,3,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,NEW ARCANA INDIA,0,0,0,0,0,1,0,0,1,0,1,1
Uttar Pradesh,VARANASI RTO - UP65,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,0,3,0,1,0,0,2,0,1
Uttar Pradesh,VARANASI RTO - UP65,L3G,RIBAND ELECTRIC PVT LTD,0,0,0,1,1,0,0,3,2,1,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,SAERA ELECTRIC AUTO PVT LTD,7,3,5,10,4,5,3,7,3,2,2,4
Uttar Pradesh,VARANASI RTO - UP65,L3G,SAHNIANAND E VEHICLES PVT LTD,1,0,3,2,1,1,0,0,2,0,0,4
Uttar Pradesh,VARANASI RTO - UP65,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,VARANASI RTO - UP65,L3G,SKS TRADE INDIA PVT LTD,0,0,1,2,1,0,2,0,0,5,7,3
Uttar Pradesh,VARANASI RTO - UP65,L3G,SN SOLAR ENERGY,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,TERRA MOTORS INDIA PVT LTD,3,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,THUKRAL ELECTRIC BIKES PVT LTD,10,9,9,6,6,3,3,7,6,10,8,7
Uttar Pradesh,VARANASI RTO - UP65,L3G,T U K INDUSTRIES,0,3,2,0,0,7,0,1,4,1,6,2
Uttar Pradesh,VARANASI RTO - UP65,L3G,TWO FRIENDS AUTO ELECTRIC PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,UNIQUE ENTERPRISES,0,0,2,0,1,2,0,1,0,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,UNIQUE INTERNATIONAL,2,1,2,1,2,2,2,2,1,1,4,5
Uttar Pradesh,VARANASI RTO - UP65,L3G,U.P. TELELINKS LIMITED,0,1,0,0,0,3,4,3,0,0,0,1
Uttar Pradesh,VARANASI RTO - UP65,L3G,VICTORY ELECTRIC INTERNATIONAL,0,3,2,1,1,0,0,1,0,0,0,1
Uttar Pradesh,VARANASI RTO - UP65,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,0,1,2,0,1,2,3,0,0,2,5,3
Uttar Pradesh,VARANASI RTO - UP65,L3G,VIMAL UNIVERSAL TRADE PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3G,YC ELECTRIC VEHICLE,1,3,3,2,1,1,1,2,4,5,9,2
Uttar Pradesh,VARANASI RTO - UP65,L3G,ZEOPLUS AXIS INDIA PVT. LTD.,0,0,0,0,0,0,0,0,0,0,1,0
