State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,VARANASI RTO - UP65,ICE,BAJAJ AUTO LTD,343,437,463,729,769,584,16,"3,341",0,0,0
Uttar Pradesh,VARANASI RTO - UP65,ICE,BMW INDIA PVT LTD,0,0,1,0,0,1,0,2,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,ICE,CLASSIC LEGENDS PVT LTD,13,7,16,7,14,6,1,64,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,ICE,HERO MOTOCORP LTD,"1,544","1,715","2,167","2,868","3,233","2,139",32,"13,698",0,0,0
Uttar Pradesh,VARANASI RTO - UP65,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,"1,072","1,242","1,752","1,675","1,820","1,196",68,"8,825",0,0,0
Uttar Pradesh,VARANASI RTO - UP65,ICE,INDIA KAWASAKI MOTORS PVT LTD,1,1,0,2,0,0,0,4,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,ICE,INDIA YAMAHA MOTOR PVT LTD,78,98,113,157,120,68,0,634,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),378,460,494,553,442,315,29,"2,671",0,0,0
Uttar Pradesh,VARANASI RTO - UP65,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,74,74,118,149,77,72,6,570,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,ICE,TVS MOTOR COMPANY LTD,"1,092","1,156","1,305","1,784","1,648","1,067",62,"8,114",0,0,0
