State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,VARANASI RTO - UP65,L3P,AAHANA COMMERCE PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,ADM TECHNOLOGIES PVT. LTD.,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,ALLFINE INDUSTRIES PVT LTD,1,1,0,2,0,1,0,5,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,2,1,0,1,0,4,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,A P I MOTORS PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,ATUL AUTO LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,ATUT SANGAM,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,AVL ELECTRIC VEHICLES PVT LTD,0,1,5,1,5,4,0,16,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,BEST WAY AGENCIES PVT LTD,0,1,0,0,1,0,0,2,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,BHM INDUSTRIES,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,CHAMPION POLY PLAST,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,DAKSH INDUSTRIES,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,DEV MOTORS,4,0,4,1,2,0,0,11,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,DILLI ELECTRIC AUTO PVT LTD,4,5,3,1,4,8,1,26,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,ELITE AUTO ENGINEERS PVT LTD,0,0,0,0,2,0,0,2,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,ENERGY ELECTRIC VEHICLES,0,1,1,0,0,0,0,2,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,GREENWHEELS AUTOMOBILE PVT LTD,0,0,2,0,1,0,0,3,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,HOOGHLY MOTORS PVT LTD,0,0,1,1,1,1,0,4,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,INDIAN MOTORS,0,1,0,1,0,1,0,3,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,INS AUTOMOBILES PVT LTD,0,0,0,1,1,0,0,2,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,INTERGLOBE ENERGY PVT LTD,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,J. S. AUTO (P) LTD,0,2,1,1,1,2,0,7,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,KALPVRIKSH ELECTOMOBILES CO,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,KAPTECH INDIA PVT LTD,1,0,1,0,0,0,0,2,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,KRISHNA ENGINEERING WORKS,1,1,0,0,0,0,0,2,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,LECTRIX E VEHICLES PVT LTD,0,1,0,1,1,0,0,3,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,MAA SHAKTI EXIM PVT LTD,0,4,1,0,2,2,0,9,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,MAHINDRA LAST MILE MOBILITY LTD,0,2,2,0,0,1,0,5,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,MANITA CITY MOTORS LLP,0,1,1,0,0,0,0,2,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,MINI METRO EV L.L.P,0,2,0,0,1,0,0,3,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,M/S SHRIRAM AUTO TECH PVT LTD,0,1,1,1,2,1,0,6,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,NEW ARCANA INDIA,1,2,1,1,0,0,0,5,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,PLAUDIT TECHNO INDIA PVT LTD,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,PUNJAB BODY BUILDERS,1,0,1,0,0,0,0,2,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,ROYCE EV PVT LTD,0,0,4,0,0,0,0,4,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,SAERA ELECTRIC AUTO PVT LTD,0,1,3,1,1,2,0,8,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,SAHNIANAND E VEHICLES PVT LTD,0,0,0,0,0,0,4,4,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,SAKSHAM TRADING COMPANY,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,SHRI BARSANA E-VEHICLES PVT LTD,0,1,0,0,0,1,0,2,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,SKS TRADE INDIA PVT LTD,2,2,3,1,8,6,0,22,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,SMV GREEN SOLUTIONS PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,SPEEGO VEHICLES CO PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,STRENGTH AUTOELECTRIC PVT LTD,0,2,1,1,0,0,0,4,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,SUPER METRO INDUSTRIES,0,1,1,0,0,0,0,2,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,TERRA MOTORS INDIA PVT LTD,2,0,0,0,0,0,0,2,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,THUKRAL ELECTRIC BIKES PVT LTD,0,2,1,0,0,2,0,5,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,T U K INDUSTRIES,1,1,0,0,0,1,0,3,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,TWO FRIENDS AUTO ELECTRIC PVT LTD,3,0,0,2,0,0,0,5,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,UNIQUE INTERNATIONAL,2,0,1,1,3,0,0,7,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,U.P. TELELINKS LIMITED,2,0,0,0,0,0,0,2,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,VICTORY ELECTRIC INTERNATIONAL,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,4,2,0,6,0,2,0,14,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,VIMAL UNIVERSAL TRADE PVT LTD,0,0,0,0,1,1,0,2,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,VRINDA ENTERPRISES,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,0,1,1,0,2,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,YC ELECTRIC VEHICLE,2,1,2,0,1,1,0,7,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,ZENIAK INNOVATION INDIA LTD,1,1,0,1,0,3,0,6,0,0,0
Uttar Pradesh,VARANASI RTO - UP65,L3P,ZEOPLUS AXIS INDIA PVT. LTD.,3,1,0,1,5,3,0,13,0,0,0
