State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,AMRAWATI - MH27,E2W,AMO MOBILITY SOLUTIONS PVT LTD,1,0,0,0,0,0,0,0,0,0,0
Maharashtra,AMRAWATI - MH27,E2W,ATHER ENERGY LTD,41,27,40,56,39,34,40,40,35,65,62
Maharashtra,AMRAWATI - MH27,E2W,BAJAJ AUTO LTD,229,142,276,173,139,187,135,70,120,240,195
Maharashtra,AMRAWATI - MH27,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,3,0,2,1,1,0,1,0,0,2,2
Maharashtra,AMRAWATI - MH27,E2W,BGAUSS AUTO PRIVATE LIMITED,1,0,0,0,0,2,4,4,1,7,7
Maharashtra,AMRAWATI - MH27,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,72,32,87,5,39,62,0,1,74,60,86
Maharashtra,AMRAWATI - MH27,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,0,1,0,0,0,2,1,0,0
Maharashtra,AMRAWATI - MH27,E2W,HERO MOTOCORP LTD,0,1,2,5,6,5,9,17,13,5,10
Maharashtra,AMRAWATI - MH27,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,0,0,0,1,0,2,0,0,1
Maharashtra,AMRAWATI - MH27,E2W,JIANGSU XINRI (IMPORTER: ECO FUEL SYSTEMS LTD),0,0,0,0,0,0,0,0,0,0,1
Maharashtra,AMRAWATI - MH27,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,7,2,0,0,2,0,0,0,0,1,0
Maharashtra,AMRAWATI - MH27,E2W,KYTE ENERGY PVT. LTD.,2,0,0,0,0,0,0,0,0,0,0
Maharashtra,AMRAWATI - MH27,E2W,LECTRIX E VEHICLES PVT LTD,3,0,0,0,2,1,0,0,0,0,0
Maharashtra,AMRAWATI - MH27,E2W,ODYSSE ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,1,0,0,0,0,0
Maharashtra,AMRAWATI - MH27,E2W,OKINAWA AUTOTECH PVT LTD,1,0,0,0,0,0,0,0,0,0,0
Maharashtra,AMRAWATI - MH27,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,145,27,162,149,108,146,60,122,78,119,52
Maharashtra,AMRAWATI - MH27,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,0,1,3,4,9,2,2,2
Maharashtra,AMRAWATI - MH27,E2W,TVS MOTOR COMPANY LTD,124,86,145,68,110,107,60,116,101,140,122
Maharashtra,AMRAWATI - MH27,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,1,2,8,1,6,0,2,2,3,3,3
Maharashtra,AMRAWATI - MH27,E2W,WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),0,1,1,0,0,1,0,0,1,0,0
