State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,BHANDARA - MH36,E2W,ATHER ENERGY LTD,2,0,3,4,1,3,3,4,5,19,15
Maharashtra,BHANDARA - MH36,E2W,BAJAJ AUTO LTD,136,85,171,83,98,84,104,74,106,165,117
Maharashtra,BHANDARA - MH36,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,1,0,2,0,0,1,0,0,4,0,2
Maharashtra,BHANDARA - MH36,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,1,0,0,1,0,0,2,0,0
Maharashtra,BHANDARA - MH36,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,3,3,11,2,4,3,1,7,1,3,2
Maharashtra,BHANDARA - MH36,E2W,HERO MOTOCORP LTD,0,0,1,0,1,1,1,16,9,13,3
Maharashtra,BHANDARA - MH36,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,0,0,0,0,1,0,1,2,1
Maharashtra,BHANDARA - MH36,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,1,0,0,0,0,0,7,0,0,0
Maharashtra,BHANDARA - MH36,E2W,KLB KOMAKI PVT LTD,0,0,0,0,0,0,1,0,0,0,0
Maharashtra,BHANDARA - MH36,E2W,OKINAWA AUTOTECH PVT LTD,0,1,0,0,0,0,0,0,0,0,0
Maharashtra,BHANDARA - MH36,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,27,5,21,23,12,22,12,10,8,23,11
Maharashtra,BHANDARA - MH36,E2W,TVS MOTOR COMPANY LTD,31,6,15,9,24,17,17,18,20,26,16
Maharashtra,BHANDARA - MH36,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,1,0,0,0,0,0,0,0,1,0
