State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,AMPERE VEHICLES PRIVATE LIMITED,0,0,1,0,0,0,0,0,0,0,0
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,ATHER ENERGY LTD,88,40,120,64,77,108,103,110,136,141,230
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,BAJAJ AUTO LTD,211,180,288,138,219,234,206,111,156,268,168
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,3,0,0,1,1,2,1,5,2
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),3,3,0,1,1,3,0,0,0,0,0
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),0,0,0,0,0,0,0,1,11,3,1
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,ENGTIAN ELECTRIC BIKE PVT LTD,4,1,1,0,0,1,1,1,0,0,0
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,6,2,11,4,11,13,4,10,7,11,9
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,0,1,0,0,0,0,0,0,0
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,HERO MOTOCORP LTD,30,25,132,56,67,102,151,189,157,186,132
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,0,0,1,0,0,0,1,1,0
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,HONGKONG YIXING (IMPORTER: ADMS MARKETING),2,2,0,0,1,1,0,0,0,0,1
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,IVOOMI INNOVATION PVT LTD,2,4,5,7,1,5,3,0,1,3,8
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),0,0,0,0,0,0,0,1,0,0,0
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),0,0,0,0,0,0,0,0,0,1,0
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,KABIRA MOBILITY LLP,4,0,0,0,0,0,0,0,0,0,0
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,KAINING (HONGKONG) (IMPORTER:M/S IZANAU ELECTRIC),0,0,0,0,0,0,0,0,0,0,0
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,KAINING (HONGKONG) (IMPORTER: SEEKA E MOTORS),0,0,0,0,0,0,0,0,0,0,2
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,1,1,2,2,1,0,1,1,2,4,1
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,KLB KOMAKI PVT LTD,1,3,3,0,1,2,1,5,2,3,3
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,MATTER MOTOR WORKS PVT LTD,0,0,0,0,0,0,1,0,0,0,0
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,NANJING VMOTO (IMPORTER: VAJRAM ELECTRIC MOBILITY),0,0,0,0,0,0,0,0,0,1,0
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,OBEN ELECTRIC VEHICLES PVT LTD,0,0,0,4,2,1,2,3,4,6,1
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,OKINAWA AUTOTECH PVT LTD,0,1,0,0,1,1,0,1,0,0,0
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,69,14,83,43,52,70,31,61,39,47,25
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,PUR ENERGY PVT LTD,13,12,5,14,7,3,1,3,1,4,3
Maharashtra,CHHATRAPATI SAMBHAJINAGAR - MH20,E2W,REVOLT INTELLICORP PVT LTD,13,5,6,3,1,1,10,4,4,2,1
