State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,KOLHAPUR - MH9,E2W,ATHER ENERGY LTD,60,40,90,55,43,46,79,78,79,185,134
Maharashtra,KOLHAPUR - MH9,E2W,BAJAJ AUTO LTD,256,218,435,366,342,271,221,192,217,430,335
Maharashtra,KOLHAPUR - MH9,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,2,0,1,0,0,0,0,0,0,0,0
Maharashtra,KOLHAPUR - MH9,E2W,BGAUSS AUTO PRIVATE LIMITED,1,4,11,3,16,19,10,11,4,12,14
Maharashtra,KOLHAPUR - MH9,E2W,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),1,1,1,0,0,0,0,0,0,0,0
Maharashtra,KOLHAPUR - MH9,E2W,DAO EVTECH PRIVATE LIMITED,0,0,0,0,0,0,0,0,0,0,1
Maharashtra,KOLHAPUR - MH9,E2W,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),0,0,0,0,0,0,0,0,0,1,0
Maharashtra,KOLHAPUR - MH9,E2W,ENGTIAN ELECTRIC BIKE PVT LTD,0,0,1,1,0,1,0,0,0,0,0
Maharashtra,KOLHAPUR - MH9,E2W,EVTRIC MOTORS PVT LTD,0,0,0,0,0,0,1,0,0,0,0
Maharashtra,KOLHAPUR - MH9,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,1,1,8,1,10,5,1,0,0,0,0
Maharashtra,KOLHAPUR - MH9,E2W,HERO ELECTRIC VEHICLES PVT. LTD,2,0,0,0,0,0,0,0,0,0,0
Maharashtra,KOLHAPUR - MH9,E2W,HERO MOTOCORP LTD,13,12,76,47,60,22,60,70,72,126,45
Maharashtra,KOLHAPUR - MH9,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,0,0,0,0,10,5,4,2,1
Maharashtra,KOLHAPUR - MH9,E2W,HONGKONG RUIQUE (IMPORTER: DAO EVTECH),0,0,0,0,0,0,0,0,0,0,1
Maharashtra,KOLHAPUR - MH9,E2W,HONGKONG YIXING (IMPORTER: ADMS MARKETING),2,0,0,2,2,0,0,0,0,0,0
Maharashtra,KOLHAPUR - MH9,E2W,IVOOMI INNOVATION PVT LTD,4,0,1,1,1,1,3,1,0,2,0
Maharashtra,KOLHAPUR - MH9,E2W,JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),0,0,0,0,0,0,1,0,0,0,0
Maharashtra,KOLHAPUR - MH9,E2W,JIANGSU XINRI (IMPORTER: ECO FUEL SYSTEMS LTD),0,0,0,0,0,0,0,0,0,1,0
Maharashtra,KOLHAPUR - MH9,E2W,JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),0,0,0,0,0,0,1,1,0,0,0
Maharashtra,KOLHAPUR - MH9,E2W,JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),0,0,0,0,0,1,0,0,0,0,0
Maharashtra,KOLHAPUR - MH9,E2W,KAINING (HONGKONG) (IMPORTER: COMPTECH MOTOCORP),1,1,1,0,0,0,4,1,4,3,4
Maharashtra,KOLHAPUR - MH9,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,2,2,10,6,7,2,2,4,4,1,3
Maharashtra,KOLHAPUR - MH9,E2W,KLB KOMAKI PVT LTD,0,0,1,0,0,0,0,2,0,2,1
Maharashtra,KOLHAPUR - MH9,E2W,LECTRIX E VEHICLES PVT LTD,0,2,0,1,0,0,0,0,1,0,0
Maharashtra,KOLHAPUR - MH9,E2W,NANJING VMOTO (IMPORTER: VAJRAM ELECTRIC MOBILITY),0,0,0,0,0,0,0,0,0,1,1
Maharashtra,KOLHAPUR - MH9,E2W,ODYSSE ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,1,0
Maharashtra,KOLHAPUR - MH9,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,213,57,280,244,141,118,54,58,31,73,25
Maharashtra,KOLHAPUR - MH9,E2W,PUR ENERGY PVT LTD,0,18,10,25,40,10,40,20,0,0,0
Maharashtra,KOLHAPUR - MH9,E2W,REVOLT INTELLICORP PVT LTD,5,11,13,4,9,0,7,0,1,1,1
Maharashtra,KOLHAPUR - MH9,E2W,RIVER MOBILITY PVT LTD,0,0,0,0,0,0,1,0,1,0,2
Maharashtra,KOLHAPUR - MH9,E2W,ROWWET MOBILITY PVT LTD,0,0,0,1,0,0,0,0,0,0,0
Maharashtra,KOLHAPUR - MH9,E2W,SBTEK E MOTO PVT LTD,1,0,0,0,0,0,0,0,0,0,0
Maharashtra,KOLHAPUR - MH9,E2W,SIMPLEENERGY PVT LTD,0,0,0,0,0,0,0,1,0,0,1
Maharashtra,KOLHAPUR - MH9,E2W,TVS MOTOR COMPANY LTD,329,209,576,331,270,259,218,269,216,361,332
Maharashtra,KOLHAPUR - MH9,E2W,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,0,0,1,0,0,0,0,0,0,0,0
Maharashtra,KOLHAPUR - MH9,E2W,VELOCIFERO (IMPORTER: KAWVELOCE MOTORS PVT LTD),3,2,4,5,13,1,1,2,0,0,3
Maharashtra,KOLHAPUR - MH9,E2W,WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),0,0,0,0,0,0,0,0,0,0,0
