State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,MUMBAI (WEST) - MH2,E2W,ATHER ENERGY LTD,18,8,17,15,12,15,8,4,14,8,6
Maharashtra,MUMBAI (WEST) - MH2,E2W,ATUMOBILE PVT LTD,1,0,0,0,0,0,0,0,0,0,0
Maharashtra,MUMBAI (WEST) - MH2,E2W,BAJAJ AUTO LTD,5,12,16,15,10,12,5,3,4,4,2
Maharashtra,MUMBAI (WEST) - MH2,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,0,0,0,0,0,0,0,0,2,0,0
Maharashtra,MUMBAI (WEST) - MH2,E2W,BGAUSS AUTO PRIVATE LIMITED,2,1,30,0,2,1,2,66,138,102,1
Maharashtra,MUMBAI (WEST) - MH2,E2W,BMW INDIA PVT LTD,0,2,0,0,1,0,1,0,0,8,3
Maharashtra,MUMBAI (WEST) - MH2,E2W,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,0,0,0,0,0,0,0,0,4,0,0
Maharashtra,MUMBAI (WEST) - MH2,E2W,BOUNCE ELECTRIC 1 PVT LTD,0,0,0,25,0,0,0,0,0,0,0
Maharashtra,MUMBAI (WEST) - MH2,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,1,3,1,1,1,1,0,0,0,0,0
Maharashtra,MUMBAI (WEST) - MH2,E2W,HERO MOTOCORP LTD,8,12,37,16,14,9,25,20,19,18,23
Maharashtra,MUMBAI (WEST) - MH2,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,0,1,0,1,0,1,1,1,0
Maharashtra,MUMBAI (WEST) - MH2,E2W,IVOOMI INNOVATION PVT LTD,0,1,0,0,0,0,0,0,0,0,0
Maharashtra,MUMBAI (WEST) - MH2,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,1,0,0,0,0,0,0,0
Maharashtra,MUMBAI (WEST) - MH2,E2W,KLB KOMAKI PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Maharashtra,MUMBAI (WEST) - MH2,E2W,MATTER MOTOR WORKS PVT LTD,1,0,0,0,0,0,0,0,0,1,0
Maharashtra,MUMBAI (WEST) - MH2,E2W,MOTOVOLT MOBILITY PVT LTD,1,0,0,0,0,0,0,0,0,0,1
Maharashtra,MUMBAI (WEST) - MH2,E2W,NUMEROS MOTORS PVT LTD,0,0,0,0,0,0,0,0,3,0,0
Maharashtra,MUMBAI (WEST) - MH2,E2W,ODYSSE ELECTRIC VEHICLES PVT LTD,1,200,255,0,0,0,1,0,0,0,0
Maharashtra,MUMBAI (WEST) - MH2,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,16,6,38,10,7,11,1,7,2,5,0
Maharashtra,MUMBAI (WEST) - MH2,E2W,PUR ENERGY PVT LTD,3,4,10,15,30,20,8,0,0,0,0
Maharashtra,MUMBAI (WEST) - MH2,E2W,REVOLT INTELLICORP PVT LTD,2,0,3,2,1,0,0,1,4,1,1
Maharashtra,MUMBAI (WEST) - MH2,E2W,RGM BUSINESS PLUS PVT LTD,0,0,0,0,0,0,0,1,0,0,0
Maharashtra,MUMBAI (WEST) - MH2,E2W,RIVER MOBILITY PVT LTD,0,0,0,0,0,0,0,0,0,0,1
Maharashtra,MUMBAI (WEST) - MH2,E2W,SIMPLEENERGY PVT LTD,1,0,0,0,0,0,0,0,0,0,0
Maharashtra,MUMBAI (WEST) - MH2,E2W,TVS MOTOR COMPANY LTD,9,8,7,10,12,7,5,2,7,9,17
Maharashtra,MUMBAI (WEST) - MH2,E2W,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,3,3,0,0,1,0,2,3,3,3,0
Maharashtra,MUMBAI (WEST) - MH2,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,1,2,2,0,0,0,0,0
