State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,NAGPUR (EAST) - MH49,E2W,ATHER ENERGY LTD,80,60,87,105,66,90,114,125,142,210,137
Maharashtra,NAGPUR (EAST) - MH49,E2W,BAJAJ AUTO LTD,459,388,526,380,396,378,285,282,295,432,181
Maharashtra,NAGPUR (EAST) - MH49,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,1,1,1,0,0,1,0,0,0,0,0
Maharashtra,NAGPUR (EAST) - MH49,E2W,BGAUSS AUTO PRIVATE LIMITED,15,3,16,10,4,4,3,1,3,8,10
Maharashtra,NAGPUR (EAST) - MH49,E2W,BOUNCE ELECTRIC 1 PVT LTD,0,0,0,1,0,0,0,0,0,0,0
Maharashtra,NAGPUR (EAST) - MH49,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,9,5,17,9,14,8,9,2,3,2,2
Maharashtra,NAGPUR (EAST) - MH49,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,0,1,0,2,0,0,0,0,0
Maharashtra,NAGPUR (EAST) - MH49,E2W,HERO MOTOCORP LTD,1,9,9,13,15,15,16,44,28,31,22
Maharashtra,NAGPUR (EAST) - MH49,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,0,1,3,14,3,6,1,3,0
Maharashtra,NAGPUR (EAST) - MH49,E2W,HONGKONG YIXING (IMPORTER: ADMS MARKETING),0,0,0,0,0,0,0,0,1,2,0
Maharashtra,NAGPUR (EAST) - MH49,E2W,IVOOMI INNOVATION PVT LTD,1,0,2,3,1,0,0,0,0,0,0
Maharashtra,NAGPUR (EAST) - MH49,E2W,JIANGSU SUNHOU (IMPORTER: SABOO TOR),0,0,0,0,0,0,0,0,0,0,1
Maharashtra,NAGPUR (EAST) - MH49,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,7,4,1,1,2,4,2,7,3,2,0
Maharashtra,NAGPUR (EAST) - MH49,E2W,KLB KOMAKI PVT LTD,2,1,0,0,1,0,0,0,0,0,0
Maharashtra,NAGPUR (EAST) - MH49,E2W,LECTRIX E VEHICLES PVT LTD,1,1,0,0,0,0,0,0,0,0,0
Maharashtra,NAGPUR (EAST) - MH49,E2W,OBEN ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,1,0,0,0
Maharashtra,NAGPUR (EAST) - MH49,E2W,OKAYA EV PVT LTD,0,0,0,0,0,0,1,1,0,1,0
Maharashtra,NAGPUR (EAST) - MH49,E2W,OKINAWA AUTOTECH PVT LTD,0,0,0,0,1,0,0,0,0,0,0
Maharashtra,NAGPUR (EAST) - MH49,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,92,23,117,77,45,65,20,41,35,40,9
Maharashtra,NAGPUR (EAST) - MH49,E2W,PUR ENERGY PVT LTD,0,0,0,0,0,1,0,0,0,0,0
Maharashtra,NAGPUR (EAST) - MH49,E2W,RIVER MOBILITY PVT LTD,0,0,0,0,1,0,0,0,0,0,0
Maharashtra,NAGPUR (EAST) - MH49,E2W,SIMPLEENERGY PVT LTD,1,0,0,0,1,1,0,0,0,0,0
Maharashtra,NAGPUR (EAST) - MH49,E2W,TVS MOTOR COMPANY LTD,135,81,203,86,101,123,100,165,112,191,99
Maharashtra,NAGPUR (EAST) - MH49,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,1,1,1,2,4,4,2,3,2,3,0
