State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,NANDURBAR - MH39,E2W,AMO MOBILITY SOLUTIONS PVT LTD,0,0,0,0,0,0,0,0,0,0,1
Maharashtra,NANDURBAR - MH39,E2W,ATHER ENERGY LTD,4,5,17,1,6,4,7,6,3,14,12
Maharashtra,NANDURBAR - MH39,E2W,BAJAJ AUTO LTD,46,51,68,30,24,53,37,26,43,78,46
Maharashtra,NANDURBAR - MH39,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,1,1,1,1,0,0,0,1,0
Maharashtra,NANDURBAR - MH39,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,1,0,0,0,0,0,1,0,0
Maharashtra,NANDURBAR - MH39,E2W,HERO MOTOCORP LTD,0,1,0,0,2,5,4,13,5,3,1
Maharashtra,NANDURBAR - MH39,E2W,JITENDRA NEW EV-TECH PVT. LTD,0,0,0,0,0,0,0,0,0,0,5
Maharashtra,NANDURBAR - MH39,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,0,0,0,0,0,1,0
Maharashtra,NANDURBAR - MH39,E2W,KYTE ENERGY PVT. LTD.,0,1,0,0,0,0,0,0,0,0,0
Maharashtra,NANDURBAR - MH39,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,10,1,8,6,3,0,2,3,0,3,2
Maharashtra,NANDURBAR - MH39,E2W,REVOLT INTELLICORP PVT LTD,1,0,0,0,0,0,0,0,0,1,0
Maharashtra,NANDURBAR - MH39,E2W,TVS MOTOR COMPANY LTD,5,1,1,0,1,2,1,1,1,0,0
Maharashtra,NANDURBAR - MH39,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,0,0,1,0,0,0,0,0
Maharashtra,NANDURBAR - MH39,E2W,WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),0,0,0,0,0,0,0,0,1,0,1
Maharashtra,NANDURBAR - MH39,E2W,WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),0,0,0,0,0,0,0,0,0,0,1
