State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,RTO LATUR - MH24,E2W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,1,0,0,0,0,0,0,0,0,0,0
Maharashtra,RTO LATUR - MH24,E2W,ATHER ENERGY LTD,24,10,27,22,12,20,26,22,13,31,37
Maharashtra,RTO LATUR - MH24,E2W,BAJAJ AUTO LTD,149,111,147,150,122,85,142,73,105,218,108
Maharashtra,RTO LATUR - MH24,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,0,0,1,0,0,0,3,5,3
Maharashtra,RTO LATUR - MH24,E2W,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),0,0,0,0,0,0,0,0,2,0,0
Maharashtra,RTO LATUR - MH24,E2W,E-SPRINTO GREEN ENERGY PVT LTD,0,0,0,0,1,0,0,0,0,0,0
Maharashtra,RTO LATUR - MH24,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,10,7,23,14,9,21,16,16,10,30,11
Maharashtra,RTO LATUR - MH24,E2W,HERO MOTOCORP LTD,0,1,11,6,3,4,5,8,13,2,6
Maharashtra,RTO LATUR - MH24,E2W,JITENDRA NEW EV-TECH PVT. LTD,1,2,1,0,3,3,0,0,4,1,2
Maharashtra,RTO LATUR - MH24,E2W,JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),0,0,0,1,0,0,1,0,0,0,0
Maharashtra,RTO LATUR - MH24,E2W,JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),2,1,0,0,0,0,1,0,0,0,0
Maharashtra,RTO LATUR - MH24,E2W,KAINING (HONGKONG) (IMPORTER: SEEKA E MOTORS),0,0,1,0,0,0,0,0,0,0,0
Maharashtra,RTO LATUR - MH24,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,12,8,9,11,4,6,2,13,5,13,7
Maharashtra,RTO LATUR - MH24,E2W,KLB KOMAKI PVT LTD,0,1,0,0,0,0,0,0,0,0,0
Maharashtra,RTO LATUR - MH24,E2W,LECTRIX E VEHICLES PVT LTD,0,2,0,0,1,1,0,1,1,0,0
Maharashtra,RTO LATUR - MH24,E2W,MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),1,0,0,0,0,0,0,0,0,0,0
Maharashtra,RTO LATUR - MH24,E2W,OKAYA EV PVT LTD,0,0,0,0,0,0,0,1,0,0,0
Maharashtra,RTO LATUR - MH24,E2W,OKINAWA AUTOTECH PVT LTD,0,0,0,4,1,0,1,1,0,2,0
Maharashtra,RTO LATUR - MH24,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,15,2,18,7,5,13,2,8,9,4,3
Maharashtra,RTO LATUR - MH24,E2W,REVOLT INTELLICORP PVT LTD,4,0,3,3,3,3,3,8,4,5,2
Maharashtra,RTO LATUR - MH24,E2W,SIMPLEENERGY PVT LTD,0,0,0,0,0,0,0,0,0,1,0
Maharashtra,RTO LATUR - MH24,E2W,TVS MOTOR COMPANY LTD,51,35,72,48,49,33,36,58,37,39,59
Maharashtra,RTO LATUR - MH24,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,0,1,0,0,0,0,0,0
Maharashtra,RTO LATUR - MH24,E2W,WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),0,0,0,1,0,0,0,0,0,1,1
Maharashtra,RTO LATUR - MH24,E2W,WUXI SAIGE (IMPORTER: DM GREEN ENERGY),1,0,0,0,0,0,0,0,0,0,0
Maharashtra,RTO LATUR - MH24,E2W,WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),0,1,0,0,0,1,0,0,0,0,0
Maharashtra,RTO LATUR - MH24,E2W,ZAP (HK) (IMPORTER: IZANAU ELECTRIC),0,0,0,0,0,2,0,0,0,0,0
