State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Maharashtra,SRIRAMPUR - MH17,E2W,ATHER ENERGY LTD,11,7,18,19,13,6,34,58,25,66,116
Maharashtra,SRIRAMPUR - MH17,E2W,BAJAJ AUTO LTD,473,258,501,232,273,237,239,204,239,340,274
Maharashtra,SRIRAMPUR - MH17,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,9,2,13,7,2,1,8,3,1,8,11
Maharashtra,SRIRAMPUR - MH17,E2W,BGAUSS AUTO PRIVATE LIMITED,0,2,1,3,1,5,12,4,2,12,15
Maharashtra,SRIRAMPUR - MH17,E2W,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),0,0,0,0,0,0,0,1,2,0,1
Maharashtra,SRIRAMPUR - MH17,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,10,5,8,6,13,9,14,11,7,10,9
Maharashtra,SRIRAMPUR - MH17,E2W,HERO MOTOCORP LTD,2,3,7,11,22,8,29,36,21,29,21
Maharashtra,SRIRAMPUR - MH17,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,0,0,0,0,0,0,1,0,2
Maharashtra,SRIRAMPUR - MH17,E2W,IVOOMI INNOVATION PVT LTD,0,0,2,4,11,2,0,0,1,3,0
Maharashtra,SRIRAMPUR - MH17,E2W,JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),0,0,0,0,0,0,0,1,0,0,0
Maharashtra,SRIRAMPUR - MH17,E2W,JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),0,0,0,0,0,0,0,0,0,0,1
Maharashtra,SRIRAMPUR - MH17,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,3,0,0,1,0,0,0,0,0,0,1
Maharashtra,SRIRAMPUR - MH17,E2W,KLB KOMAKI PVT LTD,0,0,0,1,2,0,0,1,0,0,0
Maharashtra,SRIRAMPUR - MH17,E2W,KYTE ENERGY PVT. LTD.,2,0,0,0,0,0,0,0,0,5,0
Maharashtra,SRIRAMPUR - MH17,E2W,MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),0,0,0,0,0,0,0,0,0,0,1
Maharashtra,SRIRAMPUR - MH17,E2W,MATTER MOTOR WORKS PVT LTD,0,0,0,0,0,0,0,0,0,0,1
Maharashtra,SRIRAMPUR - MH17,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,44,10,27,27,25,29,19,21,18,23,8
Maharashtra,SRIRAMPUR - MH17,E2W,PUR ENERGY PVT LTD,1,10,10,20,10,21,21,19,2,0,1
Maharashtra,SRIRAMPUR - MH17,E2W,QUANTUM ENERGY LTD.,0,3,0,0,0,0,0,0,0,0,0
Maharashtra,SRIRAMPUR - MH17,E2W,REVOLT INTELLICORP PVT LTD,4,1,6,2,7,8,4,10,3,13,2
Maharashtra,SRIRAMPUR - MH17,E2W,RIVER MOBILITY PVT LTD,0,0,0,0,0,0,0,0,0,1,1
Maharashtra,SRIRAMPUR - MH17,E2W,TVS MOTOR COMPANY LTD,118,101,188,111,143,107,97,144,81,159,179
Maharashtra,SRIRAMPUR - MH17,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,12,7,10,10,17,9,14,16,3,3,7
